,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.160631,0.082794,0.209977,0.300254,0.123424,0.123669,0.138006,0.116970,0.103467,0.196410,0.111872,0.447759,0.263674,0.577474,0.581245,0.760290
lij,0.160631,0.000000,0.124460,0.204845,0.221114,0.071815,0.074022,0.148440,0.219567,0.178012,0.137909,0.184127,0.478857,0.317216,0.465344,0.472771,0.687684
lmo,0.082794,0.124460,0.000000,0.168933,0.250126,0.067841,0.106692,0.069638,0.124965,0.048662,0.148801,0.058964,0.397095,0.262706,0.424821,0.437716,0.683034
sc,0.209977,0.204845,0.168933,0.000000,0.248292,0.159069,0.159230,0.136983,0.242661,0.173585,0.150491,0.195302,0.510642,0.355922,0.472687,0.458614,0.717697
scn,0.300254,0.221114,0.250126,0.248292,0.000000,0.219295,0.184498,0.332185,0.409628,0.331801,0.330435,0.344875,0.678524,0.466610,0.500579,0.497300,0.834140
vec,0.123424,0.071815,0.067841,0.159069,0.219295,0.000000,0.051925,0.088887,0.192695,0.122281,0.116445,0.146784,0.468528,0.314422,0.364125,0.388973,0.748271
ita,0.123669,0.074022,0.106692,0.159230,0.184498,0.051925,0.000000,0.127507,0.202307,0.150525,0.148346,0.172124,0.507646,0.316596,0.488363,0.508917,0.765438
spa,0.138006,0.148440,0.069638,0.136983,0.332185,0.088887,0.127507,0.000000,0.145591,0.043782,0.079520,0.059715,0.420501,0.285392,0.475768,0.498419,0.623868
fra,0.116970,0.219567,0.124965,0.242661,0.409628,0.192695,0.202307,0.145591,0.000000,0.123193,0.253960,0.120792,0.381373,0.256147,0.586115,0.594074,0.674400
cat,0.103467,0.178012,0.048662,0.173585,0.331801,0.122281,0.150525,0.043782,0.123193,0.000000,0.146335,0.025838,0.421306,0.265982,0.519590,0.534625,0.618761
por,0.196410,0.137909,0.148801,0.150491,0.330435,0.116445,0.148346,0.079520,0.253960,0.146335,0.000000,0.177245,0.512366,0.334820,0.466326,0.467073,0.635961
oci,0.111872,0.184127,0.058964,0.195302,0.344875,0.146784,0.172124,0.059715,0.120792,0.025838,0.177245,0.000000,0.461557,0.302515,0.558428,0.572477,0.657471
deu,0.447759,0.478857,0.397095,0.510642,0.678524,0.468528,0.507646,0.420501,0.381373,0.421306,0.512366,0.461557,0.000000,0.454117,0.632191,0.647383,0.589367
eng,0.263674,0.317216,0.262706,0.355922,0.466610,0.314422,0.316596,0.285392,0.256147,0.265982,0.334820,0.302515,0.454117,0.000000,0.607960,0.612753,0.605188
slv,0.577474,0.465344,0.424821,0.472687,0.500579,0.364125,0.488363,0.475768,0.586115,0.519590,0.466326,0.558428,0.632191,0.607960,0.000000,0.078302,0.707947
hrv,0.581245,0.472771,0.437716,0.458614,0.497300,0.388973,0.508917,0.498419,0.594074,0.534625,0.467073,0.572477,0.647383,0.612753,0.078302,0.000000,0.765579
hun,0.760290,0.687684,0.683034,0.717697,0.834140,0.748271,0.765438,0.623868,0.674400,0.618761,0.635961,0.657471,0.589367,0.605188,0.707947,0.765579,0.000000
