family,n_members,mean_intra_dist,std_intra_dist,mean_inter_dist,std_inter_dist,cohesion_ratio
slavic,2,0.078302,0.000000,0.529521,0.089081,6.762548
iberian_rom,3,0.089879,0.042503,0.267741,0.177182,2.978903
cisalpine,3,0.088039,0.025805,0.255253,0.179623,2.899324
gallo_romance,2,0.120792,0.000000,0.285098,0.189491,2.360243
english,1,,,0.376376,0.126269,
germanic,1,,,0.500576,0.088139,
rhaeto_romance,1,,,0.268620,0.202611,
sardinian,1,,,0.285308,0.163810,
south_italo,1,,,0.384353,0.171373,
tuscan,1,,,0.255488,0.197273,
uralic,1,,,0.692194,0.067348,
