code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,lmo,0.08279365301132202,cat,0.10346734523773193,oci,0.11187249422073364
lij,vec,0.07181477546691895,ita,0.07402199506759644,lmo,0.12446033954620361
lmo,cat,0.04866218566894531,oci,0.05896413326263428,vec,0.06784099340438843
sc,spa,0.13698333501815796,por,0.15049093961715698,vec,0.1590692400932312
scn,ita,0.18449777364730835,vec,0.2192949652671814,lij,0.22111397981643677
vec,ita,0.05192524194717407,lmo,0.06784099340438843,lij,0.07181477546691895
ita,vec,0.05192524194717407,lij,0.07402199506759644,lmo,0.106692373752594
spa,cat,0.043781578540802,oci,0.05971473455429077,lmo,0.0696377158164978
fra,fur,0.1169702410697937,oci,0.12079179286956787,cat,0.12319326400756836
cat,oci,0.02583765983581543,spa,0.043781578540802,lmo,0.04866218566894531
por,spa,0.07952040433883667,vec,0.11644488573074341,lij,0.13790947198867798
oci,cat,0.02583765983581543,lmo,0.05896413326263428,spa,0.05971473455429077
deu,fra,0.3813726305961609,lmo,0.3970954418182373,spa,0.4205014109611511
eng,fra,0.2561471462249756,lmo,0.262706458568573,fur,0.2636744976043701
slv,hrv,0.07830202579498291,vec,0.36412501335144043,lmo,0.4248211979866028
hrv,slv,0.07830202579498291,vec,0.38897281885147095,lmo,0.43771618604660034
hun,deu,0.5893667936325073,eng,0.605188250541687,cat,0.6187608242034912
