source,target,distance,similarity,target_family,target_display
cat,oci,0.025838,0.974162,gallo_romance,Occitan
cat,spa,0.043782,0.956218,iberian_rom,Spanish
cat,lmo,0.048662,0.951338,cisalpine,Lombard
cat,fur,0.103467,0.896533,rhaeto_romance,Friulian
cat,vec,0.122281,0.877719,cisalpine,Venetian
cat,fra,0.123193,0.876807,gallo_romance,French
cat,por,0.146335,0.853665,iberian_rom,Portuguese
cat,ita,0.150525,0.849475,tuscan,Italian
cat,sc,0.173585,0.826415,sardinian,Sardinian
cat,lij,0.178012,0.821988,cisalpine,Ligurian
cat,eng,0.265982,0.734018,english,English
cat,scn,0.331801,0.668199,south_italo,Sicilian
cat,deu,0.421306,0.578694,germanic,German
cat,slv,0.519590,0.480410,slavic,Slovenian
cat,hrv,0.534625,0.465375,slavic,Croatian
cat,hun,0.618761,0.381239,uralic,Hungarian
deu,fra,0.381373,0.618627,gallo_romance,French
deu,lmo,0.397095,0.602905,cisalpine,Lombard
deu,spa,0.420501,0.579499,iberian_rom,Spanish
deu,cat,0.421306,0.578694,iberian_rom,Catalan
deu,fur,0.447759,0.552241,rhaeto_romance,Friulian
deu,eng,0.454117,0.545883,english,English
deu,oci,0.461557,0.538443,gallo_romance,Occitan
deu,vec,0.468528,0.531472,cisalpine,Venetian
deu,lij,0.478857,0.521143,cisalpine,Ligurian
deu,ita,0.507646,0.492354,tuscan,Italian
deu,sc,0.510642,0.489358,sardinian,Sardinian
deu,por,0.512366,0.487634,iberian_rom,Portuguese
deu,hun,0.589367,0.410633,uralic,Hungarian
deu,slv,0.632191,0.367809,slavic,Slovenian
deu,hrv,0.647383,0.352617,slavic,Croatian
deu,scn,0.678524,0.321476,south_italo,Sicilian
eng,fra,0.256147,0.743853,gallo_romance,French
eng,lmo,0.262706,0.737294,cisalpine,Lombard
eng,fur,0.263674,0.736326,rhaeto_romance,Friulian
eng,cat,0.265982,0.734018,iberian_rom,Catalan
eng,spa,0.285392,0.714608,iberian_rom,Spanish
eng,oci,0.302515,0.697485,gallo_romance,Occitan
eng,vec,0.314422,0.685578,cisalpine,Venetian
eng,ita,0.316596,0.683404,tuscan,Italian
eng,lij,0.317216,0.682784,cisalpine,Ligurian
eng,por,0.334820,0.665180,iberian_rom,Portuguese
eng,sc,0.355922,0.644078,sardinian,Sardinian
eng,deu,0.454117,0.545883,germanic,German
eng,scn,0.466610,0.533390,south_italo,Sicilian
eng,hun,0.605188,0.394812,uralic,Hungarian
eng,slv,0.607960,0.392040,slavic,Slovenian
eng,hrv,0.612753,0.387247,slavic,Croatian
fra,fur,0.116970,0.883030,rhaeto_romance,Friulian
fra,oci,0.120792,0.879208,gallo_romance,Occitan
fra,cat,0.123193,0.876807,iberian_rom,Catalan
fra,lmo,0.124965,0.875035,cisalpine,Lombard
fra,spa,0.145591,0.854409,iberian_rom,Spanish
fra,vec,0.192695,0.807305,cisalpine,Venetian
fra,ita,0.202307,0.797693,tuscan,Italian
fra,lij,0.219567,0.780433,cisalpine,Ligurian
fra,sc,0.242661,0.757339,sardinian,Sardinian
fra,por,0.253960,0.746040,iberian_rom,Portuguese
fra,eng,0.256147,0.743853,english,English
fra,deu,0.381373,0.618627,germanic,German
fra,scn,0.409628,0.590372,south_italo,Sicilian
fra,slv,0.586115,0.413885,slavic,Slovenian
fra,hrv,0.594074,0.405926,slavic,Croatian
fra,hun,0.674400,0.325600,uralic,Hungarian
fur,lmo,0.082794,0.917206,cisalpine,Lombard
fur,cat,0.103467,0.896533,iberian_rom,Catalan
fur,oci,0.111872,0.888128,gallo_romance,Occitan
fur,fra,0.116970,0.883030,gallo_romance,French
fur,vec,0.123424,0.876576,cisalpine,Venetian
fur,ita,0.123669,0.876331,tuscan,Italian
fur,spa,0.138006,0.861994,iberian_rom,Spanish
fur,lij,0.160631,0.839369,cisalpine,Ligurian
fur,por,0.196410,0.803590,iberian_rom,Portuguese
fur,sc,0.209977,0.790023,sardinian,Sardinian
fur,eng,0.263674,0.736326,english,English
fur,scn,0.300254,0.699746,south_italo,Sicilian
fur,deu,0.447759,0.552241,germanic,German
fur,slv,0.577474,0.422526,slavic,Slovenian
fur,hrv,0.581245,0.418755,slavic,Croatian
fur,hun,0.760290,0.239710,uralic,Hungarian
hrv,slv,0.078302,0.921698,slavic,Slovenian
hrv,vec,0.388973,0.611027,cisalpine,Venetian
hrv,lmo,0.437716,0.562284,cisalpine,Lombard
hrv,sc,0.458614,0.541386,sardinian,Sardinian
hrv,por,0.467073,0.532927,iberian_rom,Portuguese
hrv,lij,0.472771,0.527229,cisalpine,Ligurian
hrv,scn,0.497300,0.502700,south_italo,Sicilian
hrv,spa,0.498419,0.501581,iberian_rom,Spanish
hrv,ita,0.508917,0.491083,tuscan,Italian
hrv,cat,0.534625,0.465375,iberian_rom,Catalan
hrv,oci,0.572477,0.427523,gallo_romance,Occitan
hrv,fur,0.581245,0.418755,rhaeto_romance,Friulian
hrv,fra,0.594074,0.405926,gallo_romance,French
hrv,eng,0.612753,0.387247,english,English
hrv,deu,0.647383,0.352617,germanic,German
hrv,hun,0.765579,0.234421,uralic,Hungarian
hun,deu,0.589367,0.410633,germanic,German
hun,eng,0.605188,0.394812,english,English
hun,cat,0.618761,0.381239,iberian_rom,Catalan
hun,spa,0.623868,0.376132,iberian_rom,Spanish
hun,por,0.635961,0.364039,iberian_rom,Portuguese
hun,oci,0.657471,0.342529,gallo_romance,Occitan
hun,fra,0.674400,0.325600,gallo_romance,French
hun,lmo,0.683034,0.316966,cisalpine,Lombard
hun,lij,0.687684,0.312316,cisalpine,Ligurian
hun,slv,0.707947,0.292053,slavic,Slovenian
