Silhouette report (3. fasttext-norm (Pellegrini))
============================================================
  n_varieties           = 17
  linkage_method        = average
  silhouette (family)            = +0.0603
  silhouette (romance vs rest)   = +0.4408
  silhouette (romance, no dial.) = +0.3367

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  hrv                   slavic               +0.8192
  slv                   slavic               +0.8127
  spa                   iberian_rom          +0.3975
  por                   iberian_rom          +0.1597
  hun                   uralic               +0.0000
  sc                    sardinian            +0.0000
  scn                   south_italo          +0.0000
  ita                   tuscan               +0.0000
  fur                   rhaeto_romance       +0.0000
  deu                   germanic             +0.0000
  eng                   english              +0.0000
  fra                   gallo_romance        -0.0316
  lmo                   cisalpine            -0.1389
  cat                   iberian_rom          -0.2161
  lij                   cisalpine            -0.2457
  vec                   cisalpine            -0.2564
  oci                   gallo_romance        -0.2748
