,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.839369,0.917206,0.790023,0.699746,0.876576,0.876331,0.861994,0.883030,0.896533,0.803590,0.888128,0.552241,0.736326,0.422526,0.418755,0.239710
lij,0.839369,1.000000,0.875540,0.795155,0.778886,0.928185,0.925978,0.851560,0.780433,0.821988,0.862091,0.815873,0.521143,0.682784,0.534656,0.527229,0.312316
lmo,0.917206,0.875540,1.000000,0.831067,0.749874,0.932159,0.893308,0.930362,0.875035,0.951338,0.851199,0.941036,0.602905,0.737294,0.575179,0.562284,0.316966
sc,0.790023,0.795155,0.831067,1.000000,0.751708,0.840931,0.840770,0.863017,0.757339,0.826415,0.849509,0.804698,0.489358,0.644078,0.527313,0.541386,0.282303
scn,0.699746,0.778886,0.749874,0.751708,1.000000,0.780705,0.815502,0.667815,0.590372,0.668199,0.669565,0.655125,0.321476,0.533390,0.499421,0.502700,0.165860
vec,0.876576,0.928185,0.932159,0.840931,0.780705,1.000000,0.948075,0.911113,0.807305,0.877719,0.883555,0.853216,0.531472,0.685578,0.635875,0.611027,0.251729
ita,0.876331,0.925978,0.893308,0.840770,0.815502,0.948075,1.000000,0.872493,0.797693,0.849475,0.851654,0.827876,0.492354,0.683404,0.511637,0.491083,0.234562
spa,0.861994,0.851560,0.930362,0.863017,0.667815,0.911113,0.872493,1.000000,0.854409,0.956218,0.920480,0.940285,0.579499,0.714608,0.524232,0.501581,0.376132
fra,0.883030,0.780433,0.875035,0.757339,0.590372,0.807305,0.797693,0.854409,1.000000,0.876807,0.746040,0.879208,0.618627,0.743853,0.413885,0.405926,0.325600
cat,0.896533,0.821988,0.951338,0.826415,0.668199,0.877719,0.849475,0.956218,0.876807,1.000000,0.853665,0.974162,0.578694,0.734018,0.480410,0.465375,0.381239
por,0.803590,0.862091,0.851199,0.849509,0.669565,0.883555,0.851654,0.920480,0.746040,0.853665,1.000000,0.822755,0.487634,0.665180,0.533674,0.532927,0.364039
oci,0.888128,0.815873,0.941036,0.804698,0.655125,0.853216,0.827876,0.940285,0.879208,0.974162,0.822755,1.000000,0.538443,0.697485,0.441572,0.427523,0.342529
deu,0.552241,0.521143,0.602905,0.489358,0.321476,0.531472,0.492354,0.579499,0.618627,0.578694,0.487634,0.538443,1.000000,0.545883,0.367809,0.352617,0.410633
eng,0.736326,0.682784,0.737294,0.644078,0.533390,0.685578,0.683404,0.714608,0.743853,0.734018,0.665180,0.697485,0.545883,1.000000,0.392040,0.387247,0.394812
slv,0.422526,0.534656,0.575179,0.527313,0.499421,0.635875,0.511637,0.524232,0.413885,0.480410,0.533674,0.441572,0.367809,0.392040,1.000000,0.921698,0.292053
hrv,0.418755,0.527229,0.562284,0.541386,0.502700,0.611027,0.491083,0.501581,0.405926,0.465375,0.532927,0.427523,0.352617,0.387247,0.921698,1.000000,0.234421
hun,0.239710,0.312316,0.316966,0.282303,0.165860,0.251729,0.234562,0.376132,0.325600,0.381239,0.364039,0.342529,0.410633,0.394812,0.292053,0.234421,1.000000
