dialect,reference,ref_family,mean_similarity
fur,cat,romance,0.831440
fur,oci,romance,0.826358
fur,fra,romance,0.819963
fur,ita,italian,0.804199
fur,spa,romance,0.797348
fur,por,romance,0.739380
fur,eng,english,0.679087
fur,deu,germanic,0.514164
fur,slv,slavic,0.393819
fur,hrv,slavic,0.391053
fur,hun,uralic,0.236205
lij,ita,italian,0.852967
lij,por,romance,0.790116
lij,spa,romance,0.781506
lij,cat,romance,0.756363
lij,oci,romance,0.755358
lij,fra,romance,0.718886
lij,eng,english,0.626448
lij,slv,slavic,0.489548
lij,hrv,slavic,0.483727
lij,deu,germanic,0.481447
lij,hun,uralic,0.301231
lmo,cat,romance,0.867778
lmo,oci,romance,0.859498
lmo,spa,romance,0.844400
lmo,ita,italian,0.812760
lmo,fra,romance,0.798449
lmo,por,romance,0.771903
lmo,eng,english,0.670976
lmo,deu,germanic,0.552666
lmo,slv,slavic,0.518281
lmo,hrv,slavic,0.507389
lmo,hun,uralic,0.301410
sc,spa,romance,0.813356
sc,por,romance,0.796580
sc,cat,romance,0.776012
sc,ita,italian,0.773943
sc,oci,romance,0.760969
sc,fra,romance,0.713995
sc,eng,english,0.605067
sc,hrv,slavic,0.501538
sc,slv,slavic,0.490492
sc,deu,germanic,0.463913
sc,hun,uralic,0.275804
scn,ita,italian,0.754384
scn,cat,romance,0.616986
scn,por,romance,0.615533
scn,spa,romance,0.615422
scn,oci,romance,0.608471
scn,fra,romance,0.548187
scn,eng,english,0.493623
scn,hrv,slavic,0.460090
scn,slv,slavic,0.456070
scn,deu,germanic,0.304293
scn,hun,uralic,0.170528
vec,ita,italian,0.884970
vec,spa,romance,0.838666
vec,cat,romance,0.810192
vec,por,romance,0.810030
vec,oci,romance,0.790083
vec,fra,romance,0.743612
vec,eng,english,0.632525
vec,slv,slavic,0.578909
vec,hrv,slavic,0.557007
vec,deu,germanic,0.491611
vec,hun,uralic,0.246482
