variety_A,variety_B,mean_similarity,family_A,family_B
cat,oci,0.930566,romance,romance
spa,cat,0.909007,romance,romance
spa,oci,0.893666,romance,romance
vec,ita,0.884970,italo_romance,italian
slv,hrv,0.875925,slavic,slavic
spa,por,0.873739,romance,romance
lmo,cat,0.867778,italo_romance,romance
lmo,oci,0.859498,italo_romance,romance
lij,vec,0.854943,italo_romance,italo_romance
lij,ita,0.852967,italo_romance,italian
lmo,vec,0.847856,italo_romance,italo_romance
lmo,spa,0.844400,italo_romance,romance
fra,oci,0.841656,romance,romance
vec,spa,0.838666,italo_romance,romance
fra,cat,0.832966,romance,romance
fur,cat,0.831440,italo_romance,romance
fur,lmo,0.830385,italo_romance,italo_romance
fur,oci,0.826358,italo_romance,romance
fur,fra,0.819963,italo_romance,romance
sc,spa,0.813356,italo_romance,romance
lmo,ita,0.812760,italo_romance,italian
vec,cat,0.810192,italo_romance,romance
spa,fra,0.810038,romance,romance
vec,por,0.810030,italo_romance,romance
ita,spa,0.808498,italian,romance
cat,por,0.806870,romance,romance
fur,ita,0.804199,italo_romance,italian
fur,vec,0.802660,italo_romance,italo_romance
lmo,fra,0.798449,italo_romance,romance
fur,spa,0.797348,italo_romance,romance
sc,por,0.796580,italo_romance,romance
lij,lmo,0.791203,italo_romance,italo_romance
lij,por,0.790116,italo_romance,romance
vec,oci,0.790083,italo_romance,romance
ita,cat,0.788822,italian,romance
ita,por,0.786760,italian,romance
por,oci,0.782037,romance,romance
lij,spa,0.781506,italo_romance,romance
sc,cat,0.776012,italo_romance,romance
sc,ita,0.773943,italo_romance,italian
lmo,por,0.771903,italo_romance,romance
sc,vec,0.770970,italo_romance,italo_romance
ita,oci,0.770820,italian,romance
fur,lij,0.762735,italo_romance,italo_romance
sc,oci,0.760969,italo_romance,romance
lij,cat,0.756363,italo_romance,romance
lij,oci,0.755358,italo_romance,romance
scn,ita,0.754384,italo_romance,italian
lmo,sc,0.754106,italo_romance,italo_romance
vec,fra,0.743612,italo_romance,romance
ita,fra,0.740326,italian,romance
fur,por,0.739380,italo_romance,romance
lij,sc,0.729311,italo_romance,italo_romance
fur,sc,0.728247,italo_romance,italo_romance
lij,fra,0.718886,italo_romance,romance
scn,vec,0.718399,italo_romance,italo_romance
sc,fra,0.713995,italo_romance,romance
lij,scn,0.708679,italo_romance,italo_romance
fra,por,0.705855,romance,romance
fra,eng,0.704946,romance,english
cat,eng,0.691718,romance,english
sc,scn,0.690507,italo_romance,italo_romance
lmo,scn,0.679431,italo_romance,italo_romance
fur,eng,0.679087,italo_romance,english
spa,eng,0.673363,romance,english
lmo,eng,0.670976,italo_romance,english
oci,eng,0.659771,romance,english
fur,scn,0.638616,italo_romance,italo_romance
ita,eng,0.633853,italian,english
vec,eng,0.632525,italo_romance,english
lij,eng,0.626448,italo_romance,english
por,eng,0.625281,romance,english
scn,cat,0.616986,italo_romance,romance
scn,por,0.615533,italo_romance,romance
scn,spa,0.615422,italo_romance,romance
scn,oci,0.608471,italo_romance,romance
sc,eng,0.605067,italo_romance,english
fra,deu,0.587286,romance,germanic
vec,slv,0.578909,italo_romance,slavic
vec,hrv,0.557007,italo_romance,slavic
lmo,deu,0.552666,italo_romance,germanic
spa,deu,0.548492,romance,germanic
scn,fra,0.548187,italo_romance,romance
cat,deu,0.546337,romance,germanic
deu,eng,0.523333,germanic,english
lmo,slv,0.518281,italo_romance,slavic
fur,deu,0.514164,italo_romance,germanic
oci,deu,0.510007,romance,germanic
lmo,hrv,0.507389,italo_romance,slavic
sc,hrv,0.501538,italo_romance,slavic
por,slv,0.497317,romance,slavic
por,hrv,0.495515,romance,slavic
scn,eng,0.493623,italo_romance,english
spa,slv,0.493363,romance,slavic
vec,deu,0.491611,italo_romance,germanic
sc,slv,0.490492,italo_romance,slavic
lij,slv,0.489548,italo_romance,slavic
lij,hrv,0.483727,italo_romance,slavic
lij,deu,0.481447,italo_romance,germanic
ita,slv,0.476346,italian,slavic
spa,hrv,0.472182,romance,slavic
sc,deu,0.463913,italo_romance,germanic
ita,deu,0.461054,italian,germanic
por,deu,0.460430,romance,germanic
scn,hrv,0.460090,italo_romance,slavic
ita,hrv,0.458842,italian,slavic
scn,slv,0.456070,italo_romance,slavic
cat,slv,0.452685,romance,slavic
cat,hrv,0.438740,romance,slavic
oci,slv,0.418583,romance,slavic
oci,hrv,0.405752,romance,slavic
deu,hun,0.396688,germanic,uralic
fra,slv,0.394880,romance,slavic
fur,slv,0.393819,italo_romance,slavic
fur,hrv,0.391053,italo_romance,slavic
fra,hrv,0.386667,romance,slavic
eng,hun,0.381516,english,uralic
eng,slv,0.376045,english,slavic
eng,hrv,0.371337,english,slavic
cat,hun,0.367205,romance,uralic
spa,hun,0.363568,romance,uralic
deu,slv,0.354524,germanic,slavic
por,hun,0.351088,romance,uralic
deu,hrv,0.339159,germanic,slavic
oci,hun,0.333058,romance,uralic
fra,hun,0.317949,romance,uralic
scn,deu,0.304293,italo_romance,germanic
lmo,hun,0.301410,italo_romance,uralic
lij,hun,0.301231,italo_romance,uralic
slv,hun,0.286989,slavic,uralic
sc,hun,0.275804,italo_romance,uralic
vec,hun,0.246482,italo_romance,uralic
fur,hun,0.236205,italo_romance,uralic
hrv,hun,0.235216,slavic,uralic
ita,hun,0.234329,italian,uralic
scn,hun,0.170528,italo_romance,uralic
