code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,lmo,0.07348078489303589,vec,0.10878461599349976,ita,0.11956453323364258
lij,ita,0.05106532573699951,vec,0.05647563934326172,lmo,0.10736900568008423
lmo,cat,0.06437724828720093,vec,0.06713712215423584,fur,0.07348078489303589
sc,spa,0.13788509368896484,ita,0.1642143726348877,lmo,0.1711282730102539
scn,ita,0.16798365116119385,lij,0.18784546852111816,vec,0.21892774105072021
vec,ita,0.05278998613357544,lij,0.05647563934326172,lmo,0.06713712215423584
ita,lij,0.05106532573699951,vec,0.05278998613357544,lmo,0.10751855373382568
spa,cat,0.06791210174560547,lmo,0.08291155099868774,vec,0.11779356002807617
fra,fur,0.12585389614105225,cat,0.13603633642196655,lmo,0.14527100324630737
cat,lmo,0.06437724828720093,spa,0.06791210174560547,fur,0.13029253482818604
deu,fra,0.44291752576828003,lmo,0.4624871611595154,spa,0.48599332571029663
slv,vec,0.5122854709625244,lmo,0.5795606374740601,lij,0.5902233719825745
eng,fra,0.33237600326538086,lmo,0.3443940281867981,fur,0.3511609435081482
