dialect,reference,ref_family,mean_similarity
fur,cat,romance,0.816698
fur,fra,romance,0.816028
fur,ita,italian,0.815068
fur,spa,romance,0.794741
fur,eng,english,0.608347
fur,deu,germanic,0.478130
fur,slv,slavic,0.339821
lij,ita,italian,0.886641
lij,spa,romance,0.779783
lij,cat,romance,0.745603
lij,fra,romance,0.700808
lij,eng,english,0.599377
lij,deu,germanic,0.443830
lij,slv,slavic,0.387513
lmo,cat,romance,0.868133
lmo,spa,romance,0.844326
lmo,ita,italian,0.823787
lmo,fra,romance,0.788550
lmo,eng,english,0.610939
lmo,deu,germanic,0.500633
lmo,slv,slavic,0.390737
sc,spa,romance,0.822705
sc,ita,italian,0.780505
sc,cat,romance,0.753072
sc,fra,romance,0.714473
sc,eng,english,0.598025
sc,deu,germanic,0.453567
sc,slv,slavic,0.366324
scn,ita,italian,0.779370
scn,spa,romance,0.597135
scn,cat,romance,0.586635
scn,fra,romance,0.524896
scn,eng,english,0.447364
scn,slv,slavic,0.370423
scn,deu,germanic,0.301864
vec,ita,italian,0.893113
vec,spa,romance,0.821824
vec,cat,romance,0.785172
vec,fra,romance,0.725142
vec,eng,english,0.566199
vec,slv,slavic,0.455500
vec,deu,germanic,0.445881
