variety_A,variety_B,mean_similarity,family_A,family_B
spa,cat,0.894866,romance,romance
vec,ita,0.893113,italo_romance,italian
lij,ita,0.886641,italo_romance,italian
lij,vec,0.882521,italo_romance,italo_romance
lmo,cat,0.868133,italo_romance,romance
lmo,vec,0.861208,italo_romance,italo_romance
fur,lmo,0.848448,italo_romance,italo_romance
lmo,spa,0.844326,italo_romance,romance
fra,cat,0.827932,romance,romance
lmo,ita,0.823787,italo_romance,italian
fur,vec,0.823264,italo_romance,italo_romance
lij,lmo,0.823073,italo_romance,italo_romance
sc,spa,0.822705,italo_romance,romance
vec,spa,0.821824,italo_romance,romance
fur,cat,0.816698,italo_romance,romance
fur,fra,0.816028,italo_romance,romance
fur,ita,0.815068,italo_romance,italian
fur,spa,0.794741,italo_romance,romance
fur,lij,0.792462,italo_romance,italo_romance
lmo,fra,0.788550,italo_romance,romance
spa,fra,0.787499,romance,romance
vec,cat,0.785172,italo_romance,romance
sc,ita,0.780505,italo_romance,italian
lij,spa,0.779783,italo_romance,romance
scn,ita,0.779370,italo_romance,italian
ita,spa,0.777353,italian,romance
sc,vec,0.768061,italo_romance,italo_romance
lmo,sc,0.766978,italo_romance,italo_romance
lij,sc,0.756050,italo_romance,italo_romance
lij,scn,0.754140,italo_romance,italo_romance
fur,sc,0.753910,italo_romance,italo_romance
sc,cat,0.753072,italo_romance,romance
lij,cat,0.745603,italo_romance,romance
ita,cat,0.741642,italian,romance
scn,vec,0.731033,italo_romance,italo_romance
vec,fra,0.725142,italo_romance,romance
sc,fra,0.714473,italo_romance,romance
ita,fra,0.705052,italian,romance
lij,fra,0.700808,italo_romance,romance
lmo,scn,0.697617,italo_romance,italo_romance
sc,scn,0.693074,italo_romance,italo_romance
fur,scn,0.655871,italo_romance,italo_romance
fra,eng,0.641850,romance,english
lmo,eng,0.610939,italo_romance,english
fur,eng,0.608347,italo_romance,english
lij,eng,0.599377,italo_romance,english
sc,eng,0.598025,italo_romance,english
scn,spa,0.597135,italo_romance,romance
scn,cat,0.586635,italo_romance,romance
spa,eng,0.586316,romance,english
cat,eng,0.582482,romance,english
ita,eng,0.580977,italian,english
vec,eng,0.566199,italo_romance,english
fra,deu,0.532134,romance,germanic
scn,fra,0.524896,italo_romance,romance
lmo,deu,0.500633,italo_romance,germanic
deu,eng,0.495260,germanic,english
spa,deu,0.490684,romance,germanic
fur,deu,0.478130,italo_romance,germanic
cat,deu,0.460289,romance,germanic
vec,slv,0.455500,italo_romance,slavic
sc,deu,0.453567,italo_romance,germanic
scn,eng,0.447364,italo_romance,english
vec,deu,0.445881,italo_romance,germanic
lij,deu,0.443830,italo_romance,germanic
ita,deu,0.425204,italian,germanic
lmo,slv,0.390737,italo_romance,slavic
lij,slv,0.387513,italo_romance,slavic
spa,slv,0.383633,romance,slavic
ita,slv,0.376253,italian,slavic
scn,slv,0.370423,italo_romance,slavic
sc,slv,0.366324,italo_romance,slavic
fur,slv,0.339821,italo_romance,slavic
cat,slv,0.328589,romance,slavic
fra,slv,0.325062,romance,slavic
scn,deu,0.301864,italo_romance,germanic
deu,slv,0.283492,germanic,slavic
slv,eng,0.224505,slavic,english
