Silhouette report (FastText (OLDI centroid))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)   = -0.0883
  silhouette (romance)  = +0.4627

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  cat                   romance              +0.4600
  fra                   romance              +0.3352
  spa                   romance              +0.2520
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  sc                    italo_romance        -0.1625
  fur                   italo_romance        -0.2628
  lmo                   italo_romance        -0.2667
  scn                   italo_romance        -0.3086
  vec                   italo_romance        -0.5798
  lij                   italo_romance        -0.6144
