,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.794909,0.849816,0.757303,0.671584,0.830038,0.821708,0.794015,0.812492,0.816529,0.479232,0.349027,0.622512
lij,0.794909,1.000000,0.823734,0.761643,0.760271,0.886817,0.891168,0.788815,0.708663,0.754578,0.448691,0.388257,0.604704
lmo,0.849816,0.823734,1.000000,0.780647,0.711693,0.866746,0.835968,0.854608,0.795212,0.876175,0.514526,0.401835,0.621161
sc,0.757303,0.761643,0.780647,1.000000,0.715514,0.777976,0.787437,0.826421,0.716960,0.758179,0.454961,0.369572,0.605104
scn,0.671584,0.760271,0.711693,0.715514,1.000000,0.743594,0.794084,0.616584,0.541993,0.602661,0.318379,0.378183,0.460318
vec,0.830038,0.886817,0.866746,0.777976,0.743594,1.000000,0.904847,0.829624,0.736753,0.796168,0.455648,0.455201,0.584322
ita,0.821708,0.891168,0.835968,0.787437,0.794084,0.904847,1.000000,0.784734,0.710422,0.752059,0.428736,0.379285,0.591018
spa,0.794015,0.788815,0.854608,0.826421,0.616584,0.829624,0.784734,1.000000,0.788025,0.901139,0.491041,0.390120,0.601844
fra,0.812492,0.708663,0.795212,0.716960,0.541993,0.736753,0.710422,0.788025,1.000000,0.833442,0.539502,0.324641,0.660912
cat,0.816529,0.754578,0.876175,0.758179,0.602661,0.796168,0.752059,0.901139,0.833442,1.000000,0.467260,0.337219,0.601983
deu,0.479232,0.448691,0.514526,0.454961,0.318379,0.455648,0.428736,0.491041,0.539502,0.467260,1.000000,0.301500,0.503658
slv,0.349027,0.388257,0.401835,0.369572,0.378183,0.455201,0.379285,0.390120,0.324641,0.337219,0.301500,1.000000,0.238899
eng,0.622512,0.604704,0.621161,0.605104,0.460318,0.584322,0.591018,0.601844,0.660912,0.601983,0.503658,0.238899,1.000000
