dialect,reference,ref_family,mean_similarity
fur,ita,italian,0.821708
fur,cat,romance,0.816529
fur,fra,romance,0.812492
fur,spa,romance,0.794015
fur,eng,english,0.622512
fur,deu,germanic,0.479232
fur,slv,slavic,0.349027
lij,ita,italian,0.891168
lij,spa,romance,0.788815
lij,cat,romance,0.754578
lij,fra,romance,0.708663
lij,eng,english,0.604704
lij,deu,germanic,0.448691
lij,slv,slavic,0.388257
lmo,cat,romance,0.876175
lmo,spa,romance,0.854608
lmo,ita,italian,0.835968
lmo,fra,romance,0.795212
lmo,eng,english,0.621161
lmo,deu,germanic,0.514526
lmo,slv,slavic,0.401835
sc,spa,romance,0.826421
sc,ita,italian,0.787437
sc,cat,romance,0.758179
sc,fra,romance,0.716960
sc,eng,english,0.605104
sc,deu,germanic,0.454961
sc,slv,slavic,0.369572
scn,ita,italian,0.794084
scn,spa,romance,0.616584
scn,cat,romance,0.602661
scn,fra,romance,0.541993
scn,eng,english,0.460318
scn,slv,slavic,0.378183
scn,deu,germanic,0.318379
vec,ita,italian,0.904847
vec,spa,romance,0.829624
vec,cat,romance,0.796168
vec,fra,romance,0.736753
vec,eng,english,0.584322
vec,deu,germanic,0.455648
vec,slv,slavic,0.455201
