# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.058506,family_labels
davies_bouldin,1.066083,family_labels
calinski_harabasz,1.551214,family_labels
cophenetic_correlation,0.986867,hierarchical
adjusted_rand_index,0.480874,hierarchical_cut
normalized_mutual_info,0.810360,hierarchical_cut
v_measure,0.810360,hierarchical_cut
adjusted_rand_index,0.444444,kmeans
normalized_mutual_info,0.821797,kmeans
v_measure,0.821797,kmeans

# Per-variety silhouette scores
variety,family,silhouette
catalano,romance,0.111976
spagnolo,romance,0.048867
italiano,italian,0.000000
sloveno,slavic,0.000000
inglese,english,0.000000
tedesco,germanic,0.000000
greco,greek,0.000000
arabo,semitic,0.000000
ladino,italo_romance,-0.024143
sardo,italo_romance,-0.033645
lombardo,italo_romance,-0.041788
francese,romance,-0.065975
friulano,italo_romance,-0.071290
siciliano,italo_romance,-0.159419
ligure,italo_romance,-0.290424
veneto,italo_romance,-0.410261
