source,target,distance,similarity,target_family,target_display
arabo,greco,0.374329,0.625671,greek,Greek
arabo,spagnolo,0.475841,0.524159,romance,Spanish
arabo,ladino,0.482354,0.517646,italo_romance,Ladin
arabo,catalano,0.493490,0.506510,romance,Catalan
arabo,sardo,0.497507,0.502493,italo_romance,Sardinian
arabo,lombardo,0.524925,0.475075,italo_romance,Lombard
arabo,italiano,0.548729,0.451271,italian,Italian
arabo,francese,0.553631,0.446369,romance,French
arabo,veneto,0.558382,0.441618,italo_romance,Venetian
arabo,sloveno,0.571974,0.428026,slavic,Slovenian
arabo,siciliano,0.578392,0.421608,italo_romance,Sicilian
arabo,friulano,0.587471,0.412529,italo_romance,Friulian
arabo,ligure,0.592605,0.407395,italo_romance,Ligurian
arabo,tedesco,0.647001,0.352999,germanic,German
arabo,inglese,0.748649,0.251351,english,English
catalano,spagnolo,0.105933,0.894067,romance,Spanish
catalano,lombardo,0.174600,0.825400,italo_romance,Lombard
catalano,francese,0.202269,0.797731,romance,French
catalano,ladino,0.220523,0.779477,italo_romance,Ladin
catalano,sardo,0.259239,0.740761,italo_romance,Sardinian
catalano,veneto,0.263601,0.736399,italo_romance,Venetian
catalano,friulano,0.267364,0.732636,italo_romance,Friulian
catalano,ligure,0.309020,0.690980,italo_romance,Ligurian
catalano,inglese,0.310032,0.689968,english,English
catalano,italiano,0.317284,0.682716,italian,Italian
catalano,siciliano,0.450256,0.549744,italo_romance,Sicilian
catalano,arabo,0.493490,0.506510,semitic,Arabic
catalano,tedesco,0.524745,0.475255,germanic,German
catalano,sloveno,0.549876,0.450124,slavic,Slovenian
catalano,greco,0.675392,0.324608,greek,Greek
francese,catalano,0.202269,0.797731,romance,Catalan
francese,friulano,0.234221,0.765779,italo_romance,Friulian
francese,inglese,0.261970,0.738030,english,English
francese,ladino,0.316962,0.683038,italo_romance,Ladin
francese,lombardo,0.346045,0.653955,italo_romance,Lombard
francese,sardo,0.352482,0.647518,italo_romance,Sardinian
francese,spagnolo,0.370040,0.629960,romance,Spanish
francese,veneto,0.399263,0.600737,italo_romance,Venetian
francese,tedesco,0.401590,0.598410,germanic,German
francese,italiano,0.412477,0.587523,italian,Italian
francese,ligure,0.419344,0.580656,italo_romance,Ligurian
francese,siciliano,0.507565,0.492435,italo_romance,Sicilian
francese,sloveno,0.549296,0.450704,slavic,Slovenian
francese,arabo,0.553631,0.446369,semitic,Arabic
francese,greco,0.596783,0.403217,greek,Greek
friulano,lombardo,0.163015,0.836985,italo_romance,Lombard
friulano,veneto,0.182606,0.817394,italo_romance,Venetian
friulano,italiano,0.188176,0.811824,italian,Italian
friulano,francese,0.234221,0.765779,romance,French
friulano,ligure,0.265231,0.734769,italo_romance,Ligurian
friulano,catalano,0.267364,0.732636,romance,Catalan
friulano,siciliano,0.295365,0.704635,italo_romance,Sicilian
friulano,inglese,0.296372,0.703628,english,English
friulano,spagnolo,0.345164,0.654836,romance,Spanish
friulano,sardo,0.345218,0.654782,italo_romance,Sardinian
friulano,ladino,0.356505,0.643495,italo_romance,Ladin
friulano,tedesco,0.402836,0.597164,germanic,German
friulano,sloveno,0.428432,0.571568,slavic,Slovenian
friulano,greco,0.514421,0.485579,greek,Greek
friulano,arabo,0.587471,0.412529,semitic,Arabic
greco,arabo,0.374329,0.625671,semitic,Arabic
greco,tedesco,0.460744,0.539256,germanic,German
greco,lombardo,0.498533,0.501467,italo_romance,Lombard
greco,friulano,0.514421,0.485579,italo_romance,Friulian
greco,ladino,0.548441,0.451559,italo_romance,Ladin
greco,siciliano,0.556791,0.443209,italo_romance,Sicilian
greco,ligure,0.583833,0.416167,italo_romance,Ligurian
greco,italiano,0.593724,0.406276,italian,Italian
greco,francese,0.596783,0.403217,romance,French
greco,veneto,0.604552,0.395448,italo_romance,Venetian
greco,sardo,0.607656,0.392344,italo_romance,Sardinian
greco,inglese,0.607815,0.392185,english,English
greco,sloveno,0.639235,0.360765,slavic,Slovenian
