,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,0.000000,0.146317,0.066174,0.178938,0.257024,0.095993,0.102506,0.156908,0.105548,0.098976,0.187675,0.138485,0.112275,0.184403,0.399614,0.232459,0.422213,0.431104,0.387849,0.724921
lij,0.146317,0.000000,0.096873,0.160005,0.203081,0.056264,0.065139,0.126330,0.184791,0.146974,0.105305,0.171846,0.159381,0.105492,0.437543,0.286833,0.324542,0.322819,0.388035,0.649509
lmo,0.066174,0.096873,0.000000,0.134691,0.223055,0.049435,0.082770,0.086690,0.108534,0.049312,0.120027,0.115181,0.065708,0.115284,0.366012,0.230111,0.310626,0.316453,0.322372,0.661647
sc,0.178938,0.160005,0.134691,0.000000,0.216294,0.127783,0.132432,0.130779,0.202820,0.146400,0.135018,0.187085,0.161938,0.131849,0.481441,0.317210,0.354925,0.330898,0.424205,0.677135
scn,0.257024,0.203081,0.223055,0.216294,0.000000,0.199064,0.163222,0.336115,0.364117,0.308322,0.315442,0.222546,0.327582,0.326552,0.615436,0.411512,0.391959,0.374223,0.528778,0.766372
vec,0.095993,0.056264,0.049435,0.127783,0.199064,0.000000,0.043204,0.088701,0.159968,0.100550,0.098472,0.131509,0.119632,0.099146,0.456075,0.285336,0.280584,0.297619,0.374357,0.708546
ita,0.102506,0.065139,0.082770,0.132432,0.163222,0.043204,0.000000,0.129752,0.174822,0.130735,0.129589,0.156034,0.146972,0.135435,0.480189,0.290906,0.364214,0.373429,0.401334,0.730847
spa,0.156908,0.126330,0.086690,0.130779,0.336115,0.088701,0.129752,0.000000,0.145817,0.051409,0.047214,0.227253,0.054300,0.026779,0.438498,0.292982,0.402267,0.410699,0.437761,0.618361
fra,0.105548,0.184791,0.108534,0.202820,0.364117,0.159968,0.174822,0.145817,0.000000,0.111666,0.205748,0.225903,0.112558,0.188147,0.350486,0.223941,0.470909,0.467849,0.420741,0.663644
cat,0.098976,0.146974,0.049312,0.146400,0.308322,0.100550,0.130735,0.051409,0.111666,0.000000,0.107908,0.189205,0.020386,0.092693,0.391230,0.236357,0.415967,0.419581,0.403656,0.596899
por,0.187675,0.105305,0.120027,0.135018,0.315442,0.098472,0.129589,0.047214,0.205748,0.107908,0.000000,0.251515,0.115613,0.018788,0.501299,0.321526,0.371106,0.366869,0.428109,0.604212
ron,0.138485,0.171846,0.115181,0.187085,0.222546,0.131509,0.156034,0.227253,0.225903,0.189205,0.251515,0.000000,0.227358,0.245034,0.469292,0.300255,0.325718,0.318739,0.359401,0.645882
oci,0.112275,0.159381,0.065708,0.161938,0.327582,0.119632,0.146972,0.054300,0.112558,0.020386,0.115613,0.227358,0.000000,0.100283,0.420006,0.270985,0.448565,0.448257,0.436722,0.637129
glg,0.184403,0.105492,0.115284,0.131849,0.326552,0.099146,0.135435,0.026779,0.188147,0.092693,0.018788,0.245034,0.100283,0.000000,0.496971,0.311689,0.397932,0.391436,0.416912,0.616829
deu,0.399614,0.437543,0.366012,0.481441,0.615436,0.456075,0.480189,0.438498,0.350486,0.391230,0.501299,0.469292,0.420006,0.496971,0.000000,0.435763,0.560916,0.574274,0.519194,0.600060
eng,0.232459,0.286833,0.230111,0.317210,0.411512,0.285336,0.290906,0.292982,0.223941,0.236357,0.321526,0.300255,0.270985,0.311689,0.435763,0.000000,0.494209,0.487545,0.484161,0.610958
slv,0.422213,0.324542,0.310626,0.354925,0.391959,0.280584,0.364214,0.402267,0.470909,0.415967,0.371106,0.325718,0.448565,0.397932,0.560916,0.494209,0.000000,0.065636,0.460890,0.616427
hrv,0.431104,0.322819,0.316453,0.330898,0.374223,0.297619,0.373429,0.410699,0.467849,0.419581,0.366869,0.318739,0.448257,0.391436,0.574274,0.487545,0.065636,0.000000,0.451381,0.618155
sqi,0.387849,0.388035,0.322372,0.424205,0.528778,0.374357,0.401334,0.437761,0.420741,0.403656,0.428109,0.359401,0.436722,0.416912,0.519194,0.484161,0.460890,0.451381,0.000000,0.768051
hun,0.724921,0.649509,0.661647,0.677135,0.766372,0.708546,0.730847,0.618361,0.663644,0.596899,0.604212,0.645882,0.637129,0.616829,0.600060,0.610958,0.616427,0.618155,0.768051,0.000000
