source,target,distance,similarity,target_family,target_display
cat,oci,0.020386,0.979614,romance,Occitan
cat,lmo,0.049312,0.950688,italo_romance,Lombard
cat,spa,0.051409,0.948591,romance,Spanish
cat,glg,0.092693,0.907307,romance,Galician
cat,fur,0.098976,0.901024,italo_romance,Friulian
cat,vec,0.100550,0.899450,italo_romance,Venetian
cat,por,0.107908,0.892092,romance,Portuguese
cat,fra,0.111666,0.888334,romance,French
cat,ita,0.130735,0.869265,italian,Italian
cat,sc,0.146400,0.853600,italo_romance,Sardinian
cat,lij,0.146974,0.853026,italo_romance,Ligurian
cat,ron,0.189205,0.810795,romance,Romanian
cat,eng,0.236357,0.763643,english,English
cat,scn,0.308322,0.691678,italo_romance,Sicilian
cat,deu,0.391230,0.608770,germanic,German
cat,sqi,0.403656,0.596344,albanian,Albanian
cat,slv,0.415967,0.584033,slavic,Slovenian
cat,hrv,0.419581,0.580419,slavic,Croatian
cat,hun,0.596899,0.403101,uralic,Hungarian
deu,fra,0.350486,0.649514,romance,French
deu,lmo,0.366012,0.633988,italo_romance,Lombard
deu,cat,0.391230,0.608770,romance,Catalan
deu,fur,0.399614,0.600386,italo_romance,Friulian
deu,oci,0.420006,0.579994,romance,Occitan
deu,eng,0.435763,0.564237,english,English
deu,lij,0.437543,0.562457,italo_romance,Ligurian
deu,spa,0.438498,0.561502,romance,Spanish
deu,vec,0.456075,0.543925,italo_romance,Venetian
deu,ron,0.469292,0.530708,romance,Romanian
deu,ita,0.480189,0.519811,italian,Italian
deu,sc,0.481441,0.518559,italo_romance,Sardinian
deu,glg,0.496971,0.503029,romance,Galician
deu,por,0.501299,0.498701,romance,Portuguese
deu,sqi,0.519194,0.480806,albanian,Albanian
deu,slv,0.560916,0.439084,slavic,Slovenian
deu,hrv,0.574274,0.425726,slavic,Croatian
deu,hun,0.600060,0.399940,uralic,Hungarian
deu,scn,0.615436,0.384564,italo_romance,Sicilian
eng,fra,0.223941,0.776059,romance,French
eng,lmo,0.230111,0.769889,italo_romance,Lombard
eng,fur,0.232459,0.767541,italo_romance,Friulian
eng,cat,0.236357,0.763643,romance,Catalan
eng,oci,0.270985,0.729015,romance,Occitan
eng,vec,0.285336,0.714664,italo_romance,Venetian
eng,lij,0.286833,0.713167,italo_romance,Ligurian
eng,ita,0.290906,0.709094,italian,Italian
eng,spa,0.292982,0.707018,romance,Spanish
eng,ron,0.300255,0.699745,romance,Romanian
eng,glg,0.311689,0.688311,romance,Galician
eng,sc,0.317210,0.682790,italo_romance,Sardinian
eng,por,0.321526,0.678474,romance,Portuguese
eng,scn,0.411512,0.588488,italo_romance,Sicilian
eng,deu,0.435763,0.564237,germanic,German
eng,sqi,0.484161,0.515839,albanian,Albanian
eng,hrv,0.487545,0.512455,slavic,Croatian
