# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.088268,family_labels
davies_bouldin,0.908593,family_labels
calinski_harabasz,3.687902,family_labels
cophenetic_correlation,0.962482,hierarchical
adjusted_rand_index,0.274419,hierarchical_cut
normalized_mutual_info,0.671868,hierarchical_cut
v_measure,0.671868,hierarchical_cut
adjusted_rand_index,0.248555,kmeans
normalized_mutual_info,0.700823,kmeans
v_measure,0.700823,kmeans

# Per-variety silhouette scores
variety,family,silhouette
cat,romance,0.460020
fra,romance,0.335232
spa,romance,0.252024
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
sc,italo_romance,-0.162452
fur,italo_romance,-0.262839
lmo,italo_romance,-0.266669
scn,italo_romance,-0.308638
vec,italo_romance,-0.579755
lij,italo_romance,-0.614409
