variety_A,variety_B,mean_similarity,family_A,family_B
vec,ita,0.904847,italo_romance,italian
spa,cat,0.901139,romance,romance
lij,ita,0.891168,italo_romance,italian
lij,vec,0.886817,italo_romance,italo_romance
lmo,cat,0.876175,italo_romance,romance
lmo,vec,0.866746,italo_romance,italo_romance
lmo,spa,0.854608,italo_romance,romance
fur,lmo,0.849816,italo_romance,italo_romance
lmo,ita,0.835968,italo_romance,italian
fra,cat,0.833442,romance,romance
fur,vec,0.830038,italo_romance,italo_romance
vec,spa,0.829624,italo_romance,romance
sc,spa,0.826421,italo_romance,romance
lij,lmo,0.823734,italo_romance,italo_romance
fur,ita,0.821708,italo_romance,italian
fur,cat,0.816529,italo_romance,romance
fur,fra,0.812492,italo_romance,romance
vec,cat,0.796168,italo_romance,romance
lmo,fra,0.795212,italo_romance,romance
fur,lij,0.794909,italo_romance,italo_romance
scn,ita,0.794084,italo_romance,italian
fur,spa,0.794015,italo_romance,romance
lij,spa,0.788815,italo_romance,romance
spa,fra,0.788025,romance,romance
sc,ita,0.787437,italo_romance,italian
ita,spa,0.784734,italian,romance
lmo,sc,0.780647,italo_romance,italo_romance
sc,vec,0.777976,italo_romance,italo_romance
lij,sc,0.761643,italo_romance,italo_romance
lij,scn,0.760271,italo_romance,italo_romance
sc,cat,0.758179,italo_romance,romance
fur,sc,0.757303,italo_romance,italo_romance
lij,cat,0.754578,italo_romance,romance
ita,cat,0.752059,italian,romance
scn,vec,0.743594,italo_romance,italo_romance
vec,fra,0.736753,italo_romance,romance
sc,fra,0.716960,italo_romance,romance
sc,scn,0.715514,italo_romance,italo_romance
lmo,scn,0.711693,italo_romance,italo_romance
ita,fra,0.710422,italian,romance
lij,fra,0.708663,italo_romance,romance
fur,scn,0.671584,italo_romance,italo_romance
fra,eng,0.660912,romance,english
fur,eng,0.622512,italo_romance,english
lmo,eng,0.621161,italo_romance,english
scn,spa,0.616584,italo_romance,romance
sc,eng,0.605104,italo_romance,english
lij,eng,0.604704,italo_romance,english
scn,cat,0.602661,italo_romance,romance
cat,eng,0.601983,romance,english
spa,eng,0.601844,romance,english
ita,eng,0.591018,italian,english
vec,eng,0.584322,italo_romance,english
scn,fra,0.541993,italo_romance,romance
fra,deu,0.539502,romance,germanic
lmo,deu,0.514526,italo_romance,germanic
deu,eng,0.503658,germanic,english
spa,deu,0.491041,romance,germanic
fur,deu,0.479232,italo_romance,germanic
cat,deu,0.467260,romance,germanic
scn,eng,0.460318,italo_romance,english
vec,deu,0.455648,italo_romance,germanic
vec,slv,0.455201,italo_romance,slavic
sc,deu,0.454961,italo_romance,germanic
lij,deu,0.448691,italo_romance,germanic
ita,deu,0.428736,italian,germanic
lmo,slv,0.401835,italo_romance,slavic
spa,slv,0.390120,romance,slavic
lij,slv,0.388257,italo_romance,slavic
ita,slv,0.379285,italian,slavic
scn,slv,0.378183,italo_romance,slavic
sc,slv,0.369572,italo_romance,slavic
fur,slv,0.349027,italo_romance,slavic
cat,slv,0.337219,romance,slavic
fra,slv,0.324641,romance,slavic
scn,deu,0.318379,italo_romance,germanic
deu,slv,0.301500,germanic,slavic
slv,eng,0.238899,slavic,english
