,nap,scn,vec,lmo,sc,ita,es,fr,ca,de,el,ar,sl,en
nap,0.000000,0.210744,0.224995,0.244803,0.304806,0.174851,0.379605,0.377344,0.393474,0.460457,0.928425,0.960643,0.490975,0.381258
scn,0.210744,0.000000,0.298568,0.289796,0.294288,0.276859,0.437279,0.415007,0.416023,0.487740,0.930450,0.962059,0.512775,0.407742
vec,0.224995,0.298568,0.000000,0.175595,0.273287,0.170371,0.311335,0.352204,0.331879,0.422775,0.924211,0.960030,0.449006,0.334711
lmo,0.244803,0.289796,0.175595,0.000000,0.285857,0.236518,0.355081,0.351977,0.321106,0.407002,0.920893,0.959917,0.452560,0.337310
sc,0.304806,0.294288,0.273287,0.285857,0.000000,0.297224,0.368129,0.412816,0.362987,0.472617,0.923187,0.963030,0.513118,0.392905
ita,0.174851,0.276859,0.170371,0.236518,0.297224,0.000000,0.316384,0.322496,0.368559,0.389670,0.923906,0.961043,0.447186,0.286565
es,0.379605,0.437279,0.311335,0.355081,0.368129,0.316384,0.000000,0.351715,0.288556,0.423109,0.929249,0.961074,0.464036,0.306457
fr,0.377344,0.415007,0.352204,0.351977,0.412816,0.322496,0.351715,0.000000,0.348102,0.365711,0.926420,0.956685,0.455786,0.266235
ca,0.393474,0.416023,0.331879,0.321106,0.362987,0.368559,0.288556,0.348102,0.000000,0.457665,0.925457,0.959259,0.496916,0.348592
de,0.460457,0.487740,0.422775,0.407002,0.472617,0.389670,0.423109,0.365711,0.457665,0.000000,0.924732,0.957296,0.446883,0.320069
el,0.928425,0.930450,0.924211,0.920893,0.923187,0.923906,0.929249,0.926420,0.925457,0.924732,0.000000,0.986948,0.926468,0.919936
ar,0.960643,0.962059,0.960030,0.959917,0.963030,0.961043,0.961074,0.956685,0.959259,0.957296,0.986948,0.000000,0.960946,0.952244
sl,0.490975,0.512775,0.449006,0.452560,0.513118,0.447186,0.464036,0.455786,0.496916,0.446883,0.926468,0.960946,0.000000,0.416732
en,0.381258,0.407742,0.334711,0.337310,0.392905,0.286565,0.306457,0.266235,0.348592,0.320069,0.919936,0.952244,0.416732,0.000000
