code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
nap,ita,0.15833091735839844,scn,0.2119826078414917,vec,0.23136889934539795
scn,ita,0.19340050220489502,nap,0.2119826078414917,vec,0.26865512132644653
vec,lmo,0.08005625009536743,ita,0.0917474627494812,es,0.16168326139450073
lmo,vec,0.08005625009536743,ca,0.12684106826782227,ita,0.14005273580551147
sc,es,0.20862293243408203,vec,0.23817551136016846,ca,0.24476701021194458
ita,vec,0.0917474627494812,lmo,0.14005273580551147,nap,0.15833091735839844
es,ca,0.10581254959106445,lmo,0.16129231452941895,vec,0.16168326139450073
fr,ca,0.23490023612976074,lmo,0.25761955976486206,vec,0.27922558784484863
ca,es,0.10581254959106445,lmo,0.12684106826782227,vec,0.19372707605361938
de,en,0.3109375238418579,lmo,0.42833077907562256,fr,0.4368394613265991
el,ar,0.5133496522903442,lmo,0.5344808101654053,nap,0.5593385100364685
ar,el,0.5133496522903442,nap,0.5681326389312744,lmo,0.6027137041091919
sl,vec,0.3761627674102783,lmo,0.4273327589035034,scn,0.4419606924057007
en,fr,0.29734665155410767,de,0.3109375238418579,lmo,0.3214077353477478
