,nap,scn,vec,lmo,sc,ita,es,fr,ca,de,el,ar,sl,en
nap,0.000000,0.211983,0.231369,0.276839,0.357206,0.158331,0.401946,0.449099,0.465995,0.508624,0.559339,0.568133,0.473531,0.513732
scn,0.211983,0.000000,0.268655,0.297003,0.283261,0.193401,0.443826,0.487741,0.435508,0.537462,0.611736,0.627696,0.441961,0.530165
vec,0.231369,0.268655,0.000000,0.080056,0.238176,0.091747,0.161683,0.279226,0.193727,0.499534,0.572374,0.622902,0.376163,0.387214
lmo,0.276839,0.297003,0.080056,0.000000,0.246238,0.140053,0.161292,0.257620,0.126841,0.428331,0.534481,0.602714,0.427333,0.321408
sc,0.357206,0.283261,0.238176,0.246238,0.000000,0.265042,0.208623,0.330844,0.244767,0.485406,0.586898,0.639714,0.497308,0.386593
ita,0.158331,0.193401,0.091747,0.140053,0.265042,0.000000,0.262087,0.321603,0.318962,0.458474,0.606657,0.634363,0.451149,0.368268
es,0.401946,0.443826,0.161683,0.161292,0.208623,0.262087,0.000000,0.289987,0.105813,0.524111,0.579823,0.622425,0.516131,0.352957
fr,0.449099,0.487741,0.279226,0.257620,0.330844,0.321603,0.289987,0.000000,0.234900,0.436839,0.564232,0.669013,0.611354,0.297347
ca,0.465995,0.435508,0.193727,0.126841,0.244767,0.318962,0.105813,0.234900,0.000000,0.571697,0.570535,0.657338,0.583756,0.397539
de,0.508624,0.537462,0.499534,0.428331,0.485406,0.458474,0.524111,0.436839,0.571697,0.000000,0.687795,0.650537,0.540144,0.310938
el,0.559339,0.611736,0.572374,0.534481,0.586898,0.606657,0.579823,0.564232,0.570535,0.687795,0.000000,0.513350,0.611359,0.584050
ar,0.568133,0.627696,0.622902,0.602714,0.639714,0.634363,0.622425,0.669013,0.657338,0.650537,0.513350,0.000000,0.704527,0.663208
sl,0.473531,0.441961,0.376163,0.427333,0.497308,0.451149,0.516131,0.611354,0.583756,0.540144,0.611359,0.704527,0.000000,0.532519
en,0.513732,0.530165,0.387214,0.321408,0.386593,0.368268,0.352957,0.297347,0.397539,0.310938,0.584050,0.663208,0.532519,0.000000
