source,target,distance,similarity,target_family,target_display
cat,oci,0.063924,0.936076,romance,Occitan
cat,hrv,0.065237,0.934763,slavic,Croatian
cat,deu,0.068943,0.931057,germanic,German
cat,vec,0.077652,0.922348,italo_romance,Venetian
cat,scn,0.089280,0.910720,italo_romance,Sicilian
cat,por,0.091005,0.908995,romance,Portuguese
cat,lij,0.091409,0.908591,italo_romance,Ligurian
cat,fur,0.097200,0.902800,italo_romance,Friulian
cat,sc,0.102110,0.897890,italo_romance,Sardinian
cat,lmo,0.118064,0.881936,italo_romance,Lombard
cat,hun,0.137076,0.862924,uralic,Hungarian
cat,fra,0.144443,0.855557,romance,French
cat,slv,0.160646,0.839354,slavic,Slovenian
cat,spa,0.264864,0.735136,romance,Spanish
cat,ita,0.372031,0.627969,italian,Italian
cat,eng,0.385174,0.614826,english,English
deu,por,0.051942,0.948058,romance,Portuguese
deu,hrv,0.068196,0.931804,slavic,Croatian
deu,cat,0.068943,0.931057,romance,Catalan
deu,hun,0.079479,0.920521,uralic,Hungarian
deu,fra,0.082543,0.917457,romance,French
deu,slv,0.115736,0.884264,slavic,Slovenian
deu,scn,0.123695,0.876305,italo_romance,Sicilian
deu,fur,0.132176,0.867824,italo_romance,Friulian
deu,lij,0.136595,0.863405,italo_romance,Ligurian
deu,lmo,0.141687,0.858313,italo_romance,Lombard
deu,sc,0.154204,0.845796,italo_romance,Sardinian
deu,vec,0.163455,0.836545,italo_romance,Venetian
deu,oci,0.173037,0.826963,romance,Occitan
deu,spa,0.201401,0.798599,romance,Spanish
deu,ita,0.269793,0.730207,italian,Italian
deu,eng,0.273671,0.726329,english,English
eng,ita,0.049268,0.950732,italian,Italian
eng,spa,0.083717,0.916283,romance,Spanish
eng,slv,0.107660,0.892340,slavic,Slovenian
eng,fra,0.109366,0.890634,romance,French
eng,hun,0.148158,0.851842,uralic,Hungarian
eng,por,0.163400,0.836600,romance,Portuguese
eng,hrv,0.260026,0.739974,slavic,Croatian
eng,deu,0.273671,0.726329,germanic,German
eng,scn,0.342870,0.657130,italo_romance,Sicilian
eng,lmo,0.349166,0.650834,italo_romance,Lombard
eng,fur,0.351122,0.648878,italo_romance,Friulian
eng,cat,0.385174,0.614826,romance,Catalan
eng,sc,0.396070,0.603930,italo_romance,Sardinian
eng,lij,0.413844,0.586156,italo_romance,Ligurian
eng,vec,0.563354,0.436646,italo_romance,Venetian
eng,oci,0.585565,0.414435,romance,Occitan
fra,por,0.025742,0.974258,romance,Portuguese
fra,slv,0.037639,0.962361,slavic,Slovenian
fra,hun,0.041216,0.958784,uralic,Hungarian
fra,spa,0.065692,0.934308,romance,Spanish
fra,deu,0.082543,0.917457,germanic,German
fra,hrv,0.091263,0.908737,slavic,Croatian
fra,ita,0.095575,0.904425,italian,Italian
fra,eng,0.109366,0.890634,english,English
fra,cat,0.144443,0.855557,romance,Catalan
fra,fur,0.165855,0.834145,italo_romance,Friulian
fra,scn,0.168382,0.831618,italo_romance,Sicilian
fra,lmo,0.174500,0.825500,italo_romance,Lombard
fra,lij,0.199455,0.800545,italo_romance,Ligurian
fra,sc,0.204466,0.795534,italo_romance,Sardinian
fra,vec,0.294139,0.705861,italo_romance,Venetian
fra,oci,0.306764,0.693236,romance,Occitan
fur,sc,0.071488,0.928512,italo_romance,Sardinian
fur,lij,0.072419,0.927581,italo_romance,Ligurian
fur,scn,0.073919,0.926081,italo_romance,Sicilian
fur,lmo,0.085464,0.914536,italo_romance,Lombard
fur,cat,0.097200,0.902800,romance,Catalan
fur,oci,0.109887,0.890113,romance,Occitan
fur,vec,0.125472,0.874528,italo_romance,Venetian
fur,por,0.128591,0.871409,romance,Portuguese
fur,deu,0.132176,0.867824,germanic,German
fur,hrv,0.136766,0.863234,slavic,Croatian
fur,fra,0.165855,0.834145,romance,French
fur,hun,0.175850,0.824150,uralic,Hungarian
fur,slv,0.181379,0.818621,slavic,Slovenian
fur,spa,0.240142,0.759858,romance,Spanish
fur,ita,0.325037,0.674963,italian,Italian
fur,eng,0.351122,0.648878,english,English
hrv,por,0.051129,0.948871,romance,Portuguese
hrv,hun,0.052139,0.947861,uralic,Hungarian
hrv,slv,0.062629,0.937371,slavic,Slovenian
hrv,cat,0.065237,0.934763,romance,Catalan
hrv,deu,0.068196,0.931804,germanic,German
hrv,fra,0.091263,0.908737,romance,French
hrv,scn,0.113760,0.886240,italo_romance,Sicilian
hrv,lmo,0.130033,0.869967,italo_romance,Lombard
hrv,fur,0.136766,0.863234,italo_romance,Friulian
hrv,lij,0.149228,0.850772,italo_romance,Ligurian
hrv,vec,0.154722,0.845278,italo_romance,Venetian
hrv,sc,0.154771,0.845229,italo_romance,Sardinian
hrv,oci,0.178525,0.821475,romance,Occitan
hrv,spa,0.215456,0.784544,romance,Spanish
hrv,eng,0.260026,0.739974,english,English
hrv,ita,0.271618,0.728382,italian,Italian
hun,slv,0.026381,0.973619,slavic,Slovenian
hun,por,0.031645,0.968355,romance,Portuguese
hun,fra,0.041216,0.958784,romance,French
hun,hrv,0.052139,0.947861,slavic,Croatian
hun,deu,0.079479,0.920521,germanic,German
hun,spa,0.119750,0.880250,romance,Spanish
hun,cat,0.137076,0.862924,romance,Catalan
hun,ita,0.146476,0.853524,italian,Italian
hun,eng,0.148158,0.851842,english,English
hun,lmo,0.157344,0.842656,italo_romance,Lombard
hun,scn,0.157765,0.842235,italo_romance,Sicilian
hun,fur,0.175850,0.824150,italo_romance,Friulian
hun,lij,0.196034,0.803966,italo_romance,Ligurian
hun,sc,0.201687,0.798313,italo_romance,Sardinian
hun,vec,0.262930,0.737070,italo_romance,Venetian
hun,oci,0.291698,0.708302,romance,Occitan
ita,spa,0.031736,0.968264,romance,Spanish
ita,eng,0.049268,0.950732,english,English
ita,fra,0.095575,0.904425,romance,French
ita,slv,0.103096,0.896904,slavic,Slovenian
ita,hun,0.146476,0.853524,uralic,Hungarian
ita,por,0.149273,0.850727,romance,Portuguese
ita,deu,0.269793,0.730207,germanic,German
ita,hrv,0.271618,0.728382,slavic,Croatian
ita,lmo,0.321726,0.678274,italo_romance,Lombard
ita,fur,0.325037,0.674963,italo_romance,Friulian
ita,scn,0.343775,0.656225,italo_romance,Sicilian
ita,sc,0.367192,0.632808,italo_romance,Sardinian
ita,cat,0.372031,0.627969,romance,Catalan
ita,lij,0.378714,0.621286,italo_romance,Ligurian
ita,vec,0.543867,0.456133,italo_romance,Venetian
ita,oci,0.567731,0.432269,romance,Occitan
lij,sc,0.067066,0.932934,italo_romance,Sardinian
lij,vec,0.070082,0.929918,italo_romance,Venetian
lij,lmo,0.072077,0.927923,italo_romance,Lombard
lij,fur,0.072419,0.927581,italo_romance,Friulian
lij,scn,0.082084,0.917916,italo_romance,Sicilian
lij,cat,0.091409,0.908591,romance,Catalan
lij,oci,0.093399,0.906601,romance,Occitan
lij,deu,0.136595,0.863405,germanic,German
lij,hrv,0.149228,0.850772,slavic,Croatian
lij,por,0.150742,0.849258,romance,Portuguese
lij,hun,0.196034,0.803966,uralic,Hungarian
lij,fra,0.199455,0.800545,romance,French
lij,slv,0.216950,0.783050,slavic,Slovenian
lij,spa,0.283963,0.716037,romance,Spanish
lij,ita,0.378714,0.621286,italian,Italian
lij,eng,0.413844,0.586156,english,English
lmo,sc,0.064196,0.935804,italo_romance,Sardinian
lmo,lij,0.072077,0.927923,italo_romance,Ligurian
lmo,fur,0.085464,0.914536,italo_romance,Friulian
lmo,scn,0.087547,0.912453,italo_romance,Sicilian
lmo,vec,0.107263,0.892737,italo_romance,Venetian
lmo,cat,0.118064,0.881936,romance,Catalan
lmo,hrv,0.130033,0.869967,slavic,Croatian
lmo,por,0.132824,0.867176,romance,Portuguese
lmo,oci,0.140495,0.859505,romance,Occitan
lmo,deu,0.141687,0.858313,germanic,German
lmo,hun,0.157344,0.842656,uralic,Hungarian
lmo,fra,0.174500,0.825500,romance,French
lmo,slv,0.175762,0.824238,slavic,Slovenian
lmo,spa,0.249382,0.750618,romance,Spanish
lmo,ita,0.321726,0.678274,italian,Italian
lmo,eng,0.349166,0.650834,english,English
oci,vec,0.053890,0.946110,italo_romance,Venetian
oci,cat,0.063924,0.936076,romance,Catalan
oci,lij,0.093399,0.906601,italo_romance,Ligurian
oci,sc,0.094618,0.905382,italo_romance,Sardinian
oci,fur,0.109887,0.890113,italo_romance,Friulian
oci,scn,0.121139,0.878861,italo_romance,Sicilian
oci,lmo,0.140495,0.859505,italo_romance,Lombard
oci,deu,0.173037,0.826963,germanic,German
oci,hrv,0.178525,0.821475,slavic,Croatian
oci,por,0.229633,0.770367,romance,Portuguese
oci,hun,0.291698,0.708302,uralic,Hungarian
oci,fra,0.306764,0.693236,romance,French
oci,slv,0.326496,0.673504,slavic,Slovenian
oci,spa,0.427005,0.572995,romance,Spanish
oci,ita,0.567731,0.432269,italian,Italian
oci,eng,0.585565,0.414435,english,English
por,fra,0.025742,0.974258,romance,French
por,hun,0.031645,0.968355,uralic,Hungarian
por,slv,0.042573,0.957427,slavic,Slovenian
por,hrv,0.051129,0.948871,slavic,Croatian
por,deu,0.051942,0.948058,germanic,German
por,cat,0.091005,0.908995,romance,Catalan
por,spa,0.100228,0.899772,romance,Spanish
por,scn,0.121217,0.878783,italo_romance,Sicilian
por,fur,0.128591,0.871409,italo_romance,Friulian
por,lmo,0.132824,0.867176,italo_romance,Lombard
por,ita,0.149273,0.850727,italian,Italian
por,lij,0.150742,0.849258,italo_romance,Ligurian
por,sc,0.150936,0.849064,italo_romance,Sardinian
por,eng,0.163400,0.836600,english,English
por,vec,0.212546,0.787454,italo_romance,Venetian
por,oci,0.229633,0.770367,romance,Occitan
sc,lmo,0.064196,0.935804,italo_romance,Lombard
sc,lij,0.067066,0.932934,italo_romance,Ligurian
sc,fur,0.071488,0.928512,italo_romance,Friulian
sc,scn,0.074127,0.925873,italo_romance,Sicilian
sc,oci,0.094618,0.905382,romance,Occitan
sc,vec,0.101988,0.898012,italo_romance,Venetian
sc,cat,0.102110,0.897890,romance,Catalan
sc,por,0.150936,0.849064,romance,Portuguese
sc,deu,0.154204,0.845796,germanic,German
sc,hrv,0.154771,0.845229,slavic,Croatian
sc,hun,0.201687,0.798313,uralic,Hungarian
sc,fra,0.204466,0.795534,romance,French
sc,slv,0.220095,0.779905,slavic,Slovenian
sc,spa,0.277307,0.722693,romance,Spanish
sc,ita,0.367192,0.632808,italian,Italian
sc,eng,0.396070,0.603930,english,English
scn,fur,0.073919,0.926081,italo_romance,Friulian
scn,sc,0.074127,0.925873,italo_romance,Sardinian
scn,lij,0.082084,0.917916,italo_romance,Ligurian
scn,lmo,0.087547,0.912453,italo_romance,Lombard
scn,cat,0.089280,0.910720,romance,Catalan
scn,hrv,0.113760,0.886240,slavic,Croatian
scn,vec,0.120385,0.879615,italo_romance,Venetian
scn,oci,0.121139,0.878861,romance,Occitan
scn,por,0.121217,0.878783,romance,Portuguese
scn,deu,0.123695,0.876305,germanic,German
scn,hun,0.157765,0.842235,uralic,Hungarian
scn,fra,0.168382,0.831618,romance,French
scn,slv,0.177843,0.822157,slavic,Slovenian
scn,spa,0.263913,0.736087,romance,Spanish
scn,eng,0.342870,0.657130,english,English
scn,ita,0.343775,0.656225,italian,Italian
slv,hun,0.026381,0.973619,uralic,Hungarian
slv,fra,0.037639,0.962361,romance,French
slv,por,0.042573,0.957427,romance,Portuguese
slv,hrv,0.062629,0.937371,slavic,Croatian
slv,spa,0.083623,0.916377,romance,Spanish
slv,ita,0.103096,0.896904,italian,Italian
slv,eng,0.107660,0.892340,english,English
slv,deu,0.115736,0.884264,germanic,German
slv,cat,0.160646,0.839354,romance,Catalan
slv,lmo,0.175762,0.824238,italo_romance,Lombard
slv,scn,0.177843,0.822157,italo_romance,Sicilian
slv,fur,0.181379,0.818621,italo_romance,Friulian
slv,lij,0.216950,0.783050,italo_romance,Ligurian
slv,sc,0.220095,0.779905,italo_romance,Sardinian
slv,vec,0.305806,0.694194,italo_romance,Venetian
slv,oci,0.326496,0.673504,romance,Occitan
spa,ita,0.031736,0.968264,italian,Italian
spa,fra,0.065692,0.934308,romance,French
spa,slv,0.083623,0.916377,slavic,Slovenian
spa,eng,0.083717,0.916283,english,English
spa,por,0.100228,0.899772,romance,Portuguese
spa,hun,0.119750,0.880250,uralic,Hungarian
spa,deu,0.201401,0.798599,germanic,German
spa,hrv,0.215456,0.784544,slavic,Croatian
spa,fur,0.240142,0.759858,italo_romance,Friulian
spa,lmo,0.249382,0.750618,italo_romance,Lombard
spa,scn,0.263913,0.736087,italo_romance,Sicilian
spa,cat,0.264864,0.735136,romance,Catalan
spa,sc,0.277307,0.722693,italo_romance,Sardinian
spa,lij,0.283963,0.716037,italo_romance,Ligurian
spa,oci,0.427005,0.572995,romance,Occitan
spa,vec,0.428263,0.571737,italo_romance,Venetian
vec,oci,0.053890,0.946110,romance,Occitan
vec,lij,0.070082,0.929918,italo_romance,Ligurian
vec,cat,0.077652,0.922348,romance,Catalan
vec,sc,0.101988,0.898012,italo_romance,Sardinian
vec,lmo,0.107263,0.892737,italo_romance,Lombard
vec,scn,0.120385,0.879615,italo_romance,Sicilian
vec,fur,0.125472,0.874528,italo_romance,Friulian
vec,hrv,0.154722,0.845278,slavic,Croatian
vec,deu,0.163455,0.836545,germanic,German
vec,por,0.212546,0.787454,romance,Portuguese
vec,hun,0.262930,0.737070,uralic,Hungarian
vec,fra,0.294139,0.705861,romance,French
vec,slv,0.305806,0.694194,slavic,Slovenian
vec,spa,0.428263,0.571737,romance,Spanish
vec,ita,0.543867,0.456133,italian,Italian
vec,eng,0.563354,0.436646,english,English
