,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.927581,0.914536,0.928512,0.926081,0.874528,0.674963,0.759858,0.834145,0.902800,0.871409,0.890113,0.867824,0.648878,0.818621,0.863234,0.824150
lij,0.927581,1.000000,0.927923,0.932934,0.917916,0.929918,0.621286,0.716037,0.800545,0.908591,0.849258,0.906601,0.863405,0.586156,0.783050,0.850772,0.803966
lmo,0.914536,0.927923,1.000000,0.935804,0.912453,0.892737,0.678274,0.750618,0.825500,0.881936,0.867176,0.859505,0.858313,0.650834,0.824238,0.869967,0.842656
sc,0.928512,0.932934,0.935804,1.000000,0.925873,0.898012,0.632808,0.722693,0.795534,0.897890,0.849064,0.905382,0.845796,0.603930,0.779905,0.845229,0.798313
scn,0.926081,0.917916,0.912453,0.925873,1.000000,0.879615,0.656225,0.736087,0.831618,0.910720,0.878783,0.878861,0.876305,0.657130,0.822157,0.886240,0.842235
vec,0.874528,0.929918,0.892737,0.898012,0.879615,1.000000,0.456133,0.571737,0.705861,0.922348,0.787454,0.946110,0.836545,0.436646,0.694194,0.845278,0.737070
ita,0.674963,0.621286,0.678274,0.632808,0.656225,0.456133,1.000000,0.968264,0.904425,0.627969,0.850727,0.432269,0.730207,0.950732,0.896904,0.728382,0.853524
spa,0.759858,0.716037,0.750618,0.722693,0.736087,0.571737,0.968264,1.000000,0.934308,0.735136,0.899772,0.572995,0.798599,0.916283,0.916377,0.784544,0.880250
fra,0.834145,0.800545,0.825500,0.795534,0.831618,0.705861,0.904425,0.934308,1.000000,0.855557,0.974258,0.693236,0.917457,0.890634,0.962361,0.908737,0.958784
cat,0.902800,0.908591,0.881936,0.897890,0.910720,0.922348,0.627969,0.735136,0.855557,1.000000,0.908995,0.936076,0.931057,0.614826,0.839354,0.934763,0.862924
por,0.871409,0.849258,0.867176,0.849064,0.878783,0.787454,0.850727,0.899772,0.974258,0.908995,1.000000,0.770367,0.948058,0.836600,0.957427,0.948871,0.968355
oci,0.890113,0.906601,0.859505,0.905382,0.878861,0.946110,0.432269,0.572995,0.693236,0.936076,0.770367,1.000000,0.826963,0.414435,0.673504,0.821475,0.708302
deu,0.867824,0.863405,0.858313,0.845796,0.876305,0.836545,0.730207,0.798599,0.917457,0.931057,0.948058,0.826963,1.000000,0.726329,0.884264,0.931804,0.920521
eng,0.648878,0.586156,0.650834,0.603930,0.657130,0.436646,0.950732,0.916283,0.890634,0.614826,0.836600,0.414435,0.726329,1.000000,0.892340,0.739974,0.851842
slv,0.818621,0.783050,0.824238,0.779905,0.822157,0.694194,0.896904,0.916377,0.962361,0.839354,0.957427,0.673504,0.884264,0.892340,1.000000,0.937371,0.973619
hrv,0.863234,0.850772,0.869967,0.845229,0.886240,0.845278,0.728382,0.784544,0.908737,0.934763,0.948871,0.821475,0.931804,0.739974,0.937371,1.000000,0.947861
hun,0.824150,0.803966,0.842656,0.798313,0.842235,0.737070,0.853524,0.880250,0.958784,0.862924,0.968355,0.708302,0.920521,0.851842,0.973619,0.947861,1.000000
