,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.773293,0.756636,0.770165,0.742832,0.781416,0.765831,0.749485,0.775665,0.783230,0.778503,0.786038,0.756129,0.782537,0.748214,0.751697,0.746012
lij,0.773293,1.000000,0.749530,0.774350,0.744195,0.786986,0.767243,0.750079,0.776217,0.786153,0.780625,0.787236,0.758889,0.784814,0.746676,0.752214,0.745998
lmo,0.756636,0.749530,1.000000,0.747725,0.729152,0.758700,0.735311,0.718649,0.742461,0.748259,0.746936,0.757078,0.723656,0.753489,0.718351,0.721657,0.715499
sc,0.770165,0.774350,0.747725,1.000000,0.754190,0.776986,0.763040,0.753097,0.776286,0.790544,0.784413,0.793737,0.758541,0.788770,0.748355,0.753728,0.745546
scn,0.742832,0.744195,0.729152,0.754190,1.000000,0.759304,0.754592,0.739091,0.764912,0.771684,0.769780,0.761547,0.748651,0.775773,0.739304,0.746844,0.738257
vec,0.781416,0.786986,0.758700,0.776986,0.759304,1.000000,0.781210,0.768132,0.798508,0.814235,0.807577,0.806392,0.786061,0.800046,0.768642,0.781529,0.769033
ita,0.765831,0.767243,0.735311,0.763040,0.754592,0.781210,1.000000,0.871061,0.880367,0.852309,0.872785,0.794827,0.844584,0.895972,0.852477,0.836908,0.841547
spa,0.749485,0.750079,0.718649,0.753097,0.739091,0.768132,0.871061,1.000000,0.874676,0.864509,0.879823,0.802671,0.843061,0.885997,0.844767,0.833714,0.838040
fra,0.775665,0.776217,0.742461,0.776286,0.764912,0.798508,0.880367,0.874676,1.000000,0.887419,0.905150,0.838972,0.882347,0.914799,0.870364,0.868457,0.866960
cat,0.783230,0.786153,0.748259,0.790544,0.771684,0.814235,0.852309,0.864509,0.887419,1.000000,0.897728,0.859243,0.869283,0.886122,0.851523,0.860798,0.847943
por,0.778503,0.780625,0.746936,0.784413,0.769780,0.807577,0.872785,0.879823,0.905150,0.897728,1.000000,0.842747,0.881298,0.914452,0.867992,0.870361,0.866253
oci,0.786038,0.787236,0.757078,0.793737,0.761547,0.806392,0.794827,0.802671,0.838972,0.859243,0.842747,1.000000,0.817951,0.834670,0.794576,0.807070,0.794585
deu,0.756129,0.758889,0.723656,0.758541,0.748651,0.786061,0.844584,0.843061,0.882347,0.869283,0.881298,0.817951,1.000000,0.892433,0.865727,0.868232,0.864251
eng,0.782537,0.784814,0.753489,0.788770,0.775773,0.800046,0.895972,0.885997,0.914799,0.886122,0.914452,0.834670,0.892433,1.000000,0.888890,0.880456,0.882836
slv,0.748214,0.746676,0.718351,0.748355,0.739304,0.768642,0.852477,0.844767,0.870364,0.851523,0.867992,0.794576,0.865727,0.888890,1.000000,0.882516,0.865730
hrv,0.751697,0.752214,0.721657,0.753728,0.746844,0.781529,0.836908,0.833714,0.868457,0.860798,0.870361,0.807070,0.868232,0.880456,0.882516,1.000000,0.861159
hun,0.746012,0.745998,0.715499,0.745546,0.738257,0.769033,0.841547,0.838040,0.866960,0.847943,0.866253,0.794585,0.864251,0.882836,0.865730,0.861159,1.000000
