,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.044218,0.054821,0.100053,0.053140,0.056461,0.149571,0.153503,0.172915,0.156720,0.194305,0.097335,0.191415,0.096515,0.171203,0.186990,0.180445
lij,0.044218,0.000000,0.038283,0.072058,0.062163,0.034399,0.116223,0.119735,0.138105,0.123630,0.155782,0.074223,0.153732,0.082398,0.137077,0.152124,0.142905
lmo,0.054821,0.038283,0.000000,0.079223,0.080330,0.060365,0.172491,0.176119,0.193754,0.177398,0.211971,0.121903,0.209693,0.122065,0.190756,0.205261,0.195594
sc,0.100053,0.072058,0.079223,0.000000,0.102865,0.078456,0.144292,0.146014,0.165439,0.153222,0.179907,0.107154,0.179403,0.120382,0.163532,0.178390,0.166578
scn,0.053140,0.062163,0.080330,0.102865,0.000000,0.052924,0.108987,0.114683,0.125230,0.108612,0.141891,0.073726,0.141669,0.063393,0.118386,0.132142,0.127683
vec,0.056461,0.034399,0.060365,0.078456,0.052924,0.000000,0.055846,0.059052,0.067387,0.057722,0.078707,0.030086,0.078470,0.051581,0.066600,0.074621,0.070466
ita,0.149571,0.116223,0.172491,0.144292,0.108987,0.055846,0.000000,0.001845,0.006042,0.004286,0.009838,0.015734,0.010396,0.052627,0.006186,0.009647,0.007954
spa,0.153503,0.119735,0.176119,0.146014,0.114683,0.059052,0.001845,0.000000,0.006785,0.005160,0.009628,0.016696,0.010769,0.058568,0.007621,0.010785,0.008714
fra,0.172915,0.138105,0.193754,0.165439,0.125230,0.067387,0.006042,0.006785,0.000000,0.003784,0.002879,0.024434,0.003401,0.068480,0.003622,0.003541,0.003453
cat,0.156720,0.123630,0.177398,0.153222,0.108612,0.057722,0.004286,0.005160,0.003784,0.000000,0.007250,0.015797,0.008356,0.054441,0.003728,0.005787,0.006125
por,0.194305,0.155782,0.211971,0.179907,0.141891,0.078707,0.009838,0.009628,0.002879,0.007250,0.000000,0.032719,0.002633,0.084151,0.005258,0.003229,0.003067
oci,0.097335,0.074223,0.121903,0.107154,0.073726,0.030086,0.015734,0.016696,0.024434,0.015797,0.032719,0.000000,0.032945,0.039639,0.024454,0.030506,0.028016
deu,0.191415,0.153732,0.209693,0.179403,0.141669,0.078470,0.010396,0.010769,0.003401,0.008356,0.002633,0.032945,0.000000,0.080746,0.006978,0.005258,0.004533
eng,0.096515,0.082398,0.122065,0.120382,0.063393,0.051581,0.052627,0.058568,0.068480,0.054441,0.084151,0.039639,0.080746,0.000000,0.061879,0.073838,0.072035
slv,0.171203,0.137077,0.190756,0.163532,0.118386,0.066600,0.006186,0.007621,0.003622,0.003728,0.005258,0.024454,0.006978,0.061879,0.000000,0.002179,0.003162
hrv,0.186990,0.152124,0.205261,0.178390,0.132142,0.074621,0.009647,0.010785,0.003541,0.005787,0.003229,0.030506,0.005258,0.073838,0.002179,0.000000,0.003236
hun,0.180445,0.142905,0.195594,0.166578,0.127683,0.070466,0.007954,0.008714,0.003453,0.006125,0.003067,0.028016,0.004533,0.072035,0.003162,0.003236,0.000000
