dialect,reference,ref_family,mean_similarity
fur,eng,english,0.730128
fur,oci,romance,0.726186
fur,cat,romance,0.700617
fur,ita,italian,0.695205
fur,fra,romance,0.684614
fur,spa,romance,0.680998
fur,slv,slavic,0.675115
fur,hrv,slavic,0.669902
fur,por,romance,0.669564
fur,hun,uralic,0.668818
fur,deu,germanic,0.662376
lij,eng,english,0.754773
lij,oci,romance,0.742748
lij,cat,romance,0.725179
lij,ita,italian,0.721749
lij,fra,romance,0.710293
lij,spa,romance,0.706014
lij,slv,slavic,0.698740
lij,por,romance,0.698485
lij,hun,uralic,0.693776
lij,hrv,slavic,0.693612
lij,deu,germanic,0.688710
lmo,eng,english,0.707551
lmo,oci,romance,0.702522
lmo,cat,romance,0.674022
lmo,ita,italian,0.667915
lmo,fra,romance,0.657899
lmo,spa,romance,0.653953
lmo,slv,slavic,0.649479
lmo,por,romance,0.646682
lmo,hrv,slavic,0.646146
lmo,hun,uralic,0.643475
lmo,deu,germanic,0.637567
sc,eng,english,0.744980
sc,oci,romance,0.739747
sc,cat,romance,0.721769
sc,ita,italian,0.712655
sc,fra,romance,0.705075
sc,spa,romance,0.701987
sc,por,romance,0.696259
sc,slv,slavic,0.693157
sc,hrv,slavic,0.689335
sc,hun,uralic,0.688678
sc,deu,germanic,0.684242
scn,eng,english,0.743672
scn,oci,romance,0.715968
scn,cat,romance,0.714463
scn,ita,italian,0.708756
scn,fra,romance,0.700507
scn,spa,romance,0.694268
scn,slv,slavic,0.693300
scn,hrv,slavic,0.690073
scn,por,romance,0.689653
scn,hun,uralic,0.687846
scn,deu,germanic,0.681764
vec,eng,english,0.808303
vec,cat,romance,0.789231
vec,ita,italian,0.786742
vec,oci,romance,0.785549
vec,fra,romance,0.779075
vec,spa,romance,0.771003
vec,por,romance,0.770491
vec,slv,slavic,0.764100
vec,hrv,slavic,0.762595
vec,hun,uralic,0.760485
vec,deu,germanic,0.758840
