,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,1.100638,0.693543,0.947428,0.951254,1.054958,1.431939,1.442785,1.193540,1.228883,1.203908,1.134999,1.313956
lij,1.100638,0.000000,0.897322,0.904856,1.081017,0.869702,1.192023,1.194787,1.192738,1.258772,1.264757,1.248026,1.226588
lmo,0.693543,0.897322,0.000000,0.861783,0.875724,0.739722,1.571763,1.424472,1.391895,1.135623,1.314921,1.273881,1.359651
sc,0.947428,0.904856,0.861783,0.000000,0.896878,1.046572,1.396410,1.140749,1.261083,1.206067,1.247657,1.288250,1.277963
scn,0.951254,1.081017,0.875724,0.896878,0.000000,1.027003,0.928081,1.363203,1.401843,1.267986,1.233447,1.229800,1.290930
vec,1.054958,0.869702,0.739722,1.046572,1.027003,0.000000,1.004022,1.128214,1.272135,1.212170,1.327412,1.022200,1.280822
ita,1.431939,1.192023,1.571763,1.396410,0.928081,1.004022,0.000000,0.723857,0.754719,0.879458,0.888232,0.851707,0.806885
spa,1.442785,1.194787,1.424472,1.140749,1.363203,1.128214,0.723857,0.000000,0.703133,0.642480,0.862601,0.909426,0.739538
fra,1.193540,1.192738,1.391895,1.261083,1.401843,1.272135,0.754719,0.703133,0.000000,0.687400,0.788826,0.977145,0.732025
cat,1.228883,1.258772,1.135623,1.206067,1.267986,1.212170,0.879458,0.642480,0.687400,0.000000,0.978871,1.056474,0.907363
deu,1.203908,1.264757,1.314921,1.247657,1.233447,1.327412,0.888232,0.862601,0.788826,0.978871,0.000000,0.823018,0.622030
slv,1.134999,1.248026,1.273881,1.288250,1.229800,1.022200,0.851707,0.909426,0.977145,1.056474,0.823018,0.000000,0.819131
eng,1.313956,1.226588,1.359651,1.277963,1.290930,1.280822,0.806885,0.739538,0.732025,0.907363,0.622030,0.819131,0.000000
