code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,lmo,0.6935434341430664,sc,0.9474280476570129,scn,0.9512538909912109
lij,vec,0.8697018623352051,lmo,0.8973222970962524,sc,0.904856264591217
lmo,fur,0.6935434341430664,vec,0.739722490310669,sc,0.8617832064628601
sc,lmo,0.8617832064628601,scn,0.8968783020973206,lij,0.904856264591217
scn,lmo,0.8757235407829285,sc,0.8968783020973206,ita,0.9280809164047241
vec,lmo,0.739722490310669,lij,0.8697018623352051,ita,1.004022479057312
ita,spa,0.7238574624061584,fra,0.754719078540802,eng,0.8068853616714478
spa,cat,0.6424802541732788,fra,0.7031329870223999,ita,0.7238574624061584
fra,cat,0.6874003410339355,spa,0.7031329870223999,eng,0.7320245504379272
cat,spa,0.6424802541732788,fra,0.6874003410339355,ita,0.879458487033844
deu,eng,0.622029721736908,fra,0.788825511932373,slv,0.8230180144309998
slv,eng,0.8191307783126831,deu,0.8230180144309998,ita,0.8517071008682251
eng,deu,0.622029721736908,fra,0.7320245504379272,spa,0.739538311958313
