source,target,distance,similarity,target_family,target_display
cat,lmo,0.353962,0.646038,italo_romance,Lombard
cat,spa,0.717771,0.282229,romance,Spanish
cat,fra,0.774470,0.225530,romance,French
cat,slv,0.786400,0.213600,slavic,Slovenian
cat,sc,0.908145,0.091855,italo_romance,Sardinian
cat,fur,1.022453,-0.022453,italo_romance,Friulian
cat,deu,1.062520,-0.062520,germanic,German
cat,vec,1.080790,-0.080790,italo_romance,Venetian
cat,lij,1.096989,-0.096989,italo_romance,Ligurian
cat,eng,1.238821,-0.238821,english,English
cat,scn,1.490768,-0.490768,italo_romance,Sicilian
cat,ita,1.541551,-0.541551,italian,Italian
deu,eng,0.716372,0.283628,english,English
deu,fra,0.845291,0.154709,romance,French
deu,slv,0.905979,0.094021,slavic,Slovenian
deu,cat,1.062520,-0.062520,romance,Catalan
deu,fur,1.067363,-0.067363,italo_romance,Friulian
deu,lmo,1.102966,-0.102966,italo_romance,Lombard
deu,scn,1.151219,-0.151219,italo_romance,Sicilian
deu,spa,1.180483,-0.180483,romance,Spanish
deu,ita,1.190280,-0.190280,italian,Italian
deu,sc,1.208089,-0.208089,italo_romance,Sardinian
deu,lij,1.308317,-0.308317,italo_romance,Ligurian
deu,vec,1.426585,-0.426585,italo_romance,Venetian
eng,deu,0.716372,0.283628,germanic,German
eng,ita,0.824206,0.175794,italian,Italian
eng,spa,0.938249,0.061751,romance,Spanish
eng,fra,0.943102,0.056898,romance,French
eng,lij,1.129907,-0.129907,italo_romance,Ligurian
eng,vec,1.157705,-0.157705,italo_romance,Venetian
eng,sc,1.168833,-0.168833,italo_romance,Sardinian
eng,slv,1.171748,-0.171748,slavic,Slovenian
eng,scn,1.201563,-0.201563,italo_romance,Sicilian
eng,cat,1.238821,-0.238821,romance,Catalan
eng,fur,1.244153,-0.244153,italo_romance,Friulian
eng,lmo,1.342251,-0.342251,italo_romance,Lombard
fra,fur,0.306802,0.693198,italo_romance,Friulian
fra,cat,0.774470,0.225530,romance,Catalan
fra,deu,0.845291,0.154709,germanic,German
fra,eng,0.943102,0.056898,english,English
fra,slv,0.952668,0.047332,slavic,Slovenian
fra,lmo,1.062140,-0.062140,italo_romance,Lombard
fra,spa,1.132035,-0.132035,romance,Spanish
fra,sc,1.140275,-0.140275,italo_romance,Sardinian
fra,lij,1.346493,-0.346493,italo_romance,Ligurian
fra,vec,1.364372,-0.364372,italo_romance,Venetian
fra,ita,1.385788,-0.385788,italian,Italian
fra,scn,1.453633,-0.453633,italo_romance,Sicilian
fur,fra,0.306802,0.693198,romance,French
fur,lmo,0.907872,0.092128,italo_romance,Lombard
fur,cat,1.022453,-0.022453,romance,Catalan
fur,slv,1.046620,-0.046620,slavic,Slovenian
fur,scn,1.058108,-0.058108,italo_romance,Sicilian
fur,deu,1.067363,-0.067363,germanic,German
fur,sc,1.185834,-0.185834,italo_romance,Sardinian
fur,eng,1.244153,-0.244153,english,English
fur,vec,1.254757,-0.254757,italo_romance,Venetian
fur,lij,1.275178,-0.275178,italo_romance,Ligurian
fur,ita,1.305498,-0.305498,italian,Italian
fur,spa,1.478627,-0.478627,romance,Spanish
ita,scn,0.532915,0.467085,italo_romance,Sicilian
ita,vec,0.785944,0.214056,italo_romance,Venetian
ita,eng,0.824206,0.175794,english,English
ita,spa,0.897002,0.102998,romance,Spanish
ita,lij,0.902358,0.097642,italo_romance,Ligurian
ita,sc,1.167257,-0.167257,italo_romance,Sardinian
ita,deu,1.190280,-0.190280,germanic,German
ita,fur,1.305498,-0.305498,italo_romance,Friulian
ita,fra,1.385788,-0.385788,romance,French
ita,lmo,1.420169,-0.420169,italo_romance,Lombard
