,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.515313,0.514476,0.525246,0.486491,0.546084,0.518695,0.470003,0.498680,0.502427,0.417676,0.343267,0.475427
lij,0.515313,1.000000,0.521806,0.550574,0.498689,0.599771,0.582558,0.500612,0.490948,0.513147,0.432206,0.355841,0.514870
lmo,0.514476,0.521806,1.000000,0.502050,0.482086,0.551680,0.512871,0.456433,0.458662,0.493018,0.408152,0.331585,0.466166
sc,0.525246,0.550574,0.502050,1.000000,0.509584,0.576903,0.555078,0.532859,0.501568,0.537589,0.447383,0.362774,0.526560
scn,0.486491,0.498689,0.482086,0.509584,1.000000,0.534206,0.534190,0.446466,0.442911,0.467502,0.399321,0.330870,0.456603
vec,0.546084,0.599771,0.551680,0.576903,0.534206,1.000000,0.658823,0.565353,0.529545,0.568054,0.470887,0.392832,0.575332
ita,0.518695,0.582558,0.512871,0.555078,0.534190,0.658823,1.000000,0.592717,0.545830,0.574924,0.491074,0.393520,0.603243
spa,0.470003,0.500612,0.456433,0.532859,0.446466,0.565353,0.592717,1.000000,0.536418,0.606919,0.464995,0.375380,0.569290
fra,0.498680,0.490948,0.458662,0.501568,0.442911,0.529545,0.545830,0.536418,1.000000,0.554030,0.478390,0.374676,0.568730
cat,0.502427,0.513147,0.493018,0.537589,0.467502,0.568054,0.574924,0.606919,0.554030,1.000000,0.463776,0.380402,0.559527
deu,0.417676,0.432206,0.408152,0.447383,0.399321,0.470887,0.491074,0.464995,0.478390,0.463776,1.000000,0.375905,0.544119
slv,0.343267,0.355841,0.331585,0.362774,0.330870,0.392832,0.393520,0.375380,0.374676,0.380402,0.375905,1.000000,0.396141
eng,0.475427,0.514870,0.466166,0.526560,0.456603,0.575332,0.603243,0.569290,0.568730,0.559527,0.544119,0.396141,1.000000
