dialect,reference,ref_family,mean_similarity
fur,cat,romance,0.479360
fur,fra,romance,0.468098
fur,ita,italian,0.468096
fur,spa,romance,0.441060
fur,eng,english,0.436746
fur,deu,germanic,0.412048
fur,slv,slavic,0.395162
lij,ita,italian,0.529715
lij,cat,romance,0.506463
lij,fra,romance,0.500521
lij,spa,romance,0.479326
lij,eng,english,0.479127
lij,deu,germanic,0.439249
lij,slv,slavic,0.415558
lmo,cat,romance,0.478488
lmo,ita,italian,0.477216
lmo,fra,romance,0.457078
lmo,spa,romance,0.443835
lmo,eng,english,0.440572
lmo,deu,germanic,0.410712
lmo,slv,slavic,0.392511
sc,cat,romance,0.542120
sc,spa,romance,0.522505
sc,fra,romance,0.522500
sc,ita,italian,0.520691
sc,eng,english,0.504884
sc,deu,germanic,0.466054
sc,slv,slavic,0.441823
scn,ita,italian,0.517632
scn,cat,romance,0.485145
scn,fra,romance,0.470537
scn,spa,romance,0.460418
scn,eng,english,0.458981
scn,deu,germanic,0.433402
scn,slv,slavic,0.410993
vec,ita,italian,0.639427
vec,cat,romance,0.593425
vec,fra,romance,0.575573
vec,spa,romance,0.573751
vec,eng,english,0.570732
vec,deu,germanic,0.514067
vec,slv,slavic,0.495560
