# Global clustering metrics
metric,value,clusterer
silhouette_global,0.134420,family_labels
davies_bouldin,0.856538,family_labels
calinski_harabasz,1.832268,family_labels
cophenetic_correlation,0.921671,hierarchical
adjusted_rand_index,0.456592,hierarchical_cut
normalized_mutual_info,0.780045,hierarchical_cut
v_measure,0.780045,hierarchical_cut
adjusted_rand_index,0.168350,kmeans
normalized_mutual_info,0.672809,kmeans
v_measure,0.672809,kmeans

# Per-variety silhouette scores
variety,family,silhouette
lmo,italo_romance,0.423287
sc,italo_romance,0.333661
fur,italo_romance,0.267650
lij,italo_romance,0.213802
cat,romance,0.205511
vec,italo_romance,0.177909
scn,italo_romance,0.173216
spa,romance,0.012373
ita,italian,0.000000
slv,slavic,0.000000
deu,germanic,0.000000
eng,english,0.000000
fra,romance,-0.059952
