dialect,reference,ref_family,mean_similarity
fur,cat,romance,0.464325
fur,ita,italian,0.463448
fur,fra,romance,0.458003
fur,spa,romance,0.434186
fur,eng,english,0.429633
fur,deu,germanic,0.408314
fur,slv,slavic,0.386351
lij,ita,italian,0.532834
lij,cat,romance,0.499504
lij,fra,romance,0.495870
lij,spa,romance,0.479600
lij,eng,english,0.476036
lij,deu,germanic,0.441379
lij,slv,slavic,0.417218
lmo,ita,italian,0.479180
lmo,cat,romance,0.471837
lmo,fra,romance,0.450576
lmo,spa,romance,0.440995
lmo,eng,english,0.435898
lmo,deu,germanic,0.412152
lmo,slv,slavic,0.392028
sc,cat,romance,0.538717
sc,ita,italian,0.526657
sc,spa,romance,0.522300
sc,fra,romance,0.521111
sc,eng,english,0.500398
sc,deu,germanic,0.466624
sc,slv,slavic,0.443076
scn,ita,italian,0.507097
scn,cat,romance,0.470237
scn,fra,romance,0.460308
scn,spa,romance,0.453099
scn,eng,english,0.447624
scn,deu,germanic,0.425975
scn,slv,slavic,0.402860
vec,ita,italian,0.637208
vec,cat,romance,0.581853
vec,spa,romance,0.570212
vec,fra,romance,0.567943
vec,eng,english,0.565886
vec,deu,germanic,0.513300
vec,slv,slavic,0.495077
