variety_A,variety_B,mean_similarity,family_A,family_B
spa,cat,0.675870,romance,romance
fra,eng,0.666116,romance,english
spa,eng,0.656090,romance,english
ita,eng,0.650185,italian,english
ita,spa,0.649303,italian,romance
deu,eng,0.647064,germanic,english
fra,cat,0.643438,romance,romance
ita,fra,0.640736,italian,romance
ita,cat,0.638646,italian,romance
vec,ita,0.637208,italo_romance,italian
spa,fra,0.637170,romance,romance
cat,eng,0.634131,romance,english
fra,deu,0.590810,romance,germanic
ita,deu,0.584158,italian,germanic
vec,cat,0.581853,italo_romance,romance
spa,deu,0.577280,romance,germanic
vec,spa,0.570212,italo_romance,romance
vec,fra,0.567943,italo_romance,romance
vec,eng,0.565886,italo_romance,english
cat,deu,0.564815,romance,germanic
slv,eng,0.563497,slavic,english
lij,vec,0.552568,italo_romance,italo_romance
ita,slv,0.551324,italian,slavic
deu,slv,0.543694,germanic,slavic
sc,cat,0.538717,italo_romance,romance
spa,slv,0.537297,romance,slavic
sc,vec,0.535227,italo_romance,italo_romance
fra,slv,0.533713,romance,slavic
lij,ita,0.532834,italo_romance,italian
cat,slv,0.531657,romance,slavic
sc,ita,0.526657,italo_romance,italian
sc,spa,0.522300,italo_romance,romance
sc,fra,0.521111,italo_romance,romance
lmo,vec,0.517967,italo_romance,italo_romance
vec,deu,0.513300,italo_romance,germanic
scn,ita,0.507097,italo_romance,italian
scn,vec,0.505432,italo_romance,italo_romance
lij,sc,0.503530,italo_romance,italo_romance
sc,eng,0.500398,italo_romance,english
lij,cat,0.499504,italo_romance,romance
lij,fra,0.495870,italo_romance,romance
vec,slv,0.495077,italo_romance,slavic
fur,vec,0.492105,italo_romance,italo_romance
sc,scn,0.487645,italo_romance,italo_romance
lij,spa,0.479600,italo_romance,romance
lmo,ita,0.479180,italo_romance,italian
lij,lmo,0.478155,italo_romance,italo_romance
fur,sc,0.476899,italo_romance,italo_romance
lij,eng,0.476036,italo_romance,english
lmo,cat,0.471837,italo_romance,romance
scn,cat,0.470237,italo_romance,romance
sc,deu,0.466624,italo_romance,germanic
lmo,sc,0.466523,italo_romance,italo_romance
fur,lmo,0.466421,italo_romance,italo_romance
fur,cat,0.464325,italo_romance,romance
fur,ita,0.463448,italo_romance,italian
lij,scn,0.461910,italo_romance,italo_romance
lmo,scn,0.461183,italo_romance,italo_romance
scn,fra,0.460308,italo_romance,romance
fur,fra,0.458003,italo_romance,romance
fur,lij,0.455519,italo_romance,italo_romance
scn,spa,0.453099,italo_romance,romance
lmo,fra,0.450576,italo_romance,romance
scn,eng,0.447624,italo_romance,english
fur,scn,0.443945,italo_romance,italo_romance
sc,slv,0.443076,italo_romance,slavic
lij,deu,0.441379,italo_romance,germanic
lmo,spa,0.440995,italo_romance,romance
lmo,eng,0.435898,italo_romance,english
fur,spa,0.434186,italo_romance,romance
fur,eng,0.429633,italo_romance,english
scn,deu,0.425975,italo_romance,germanic
lij,slv,0.417218,italo_romance,slavic
lmo,deu,0.412152,italo_romance,germanic
fur,deu,0.408314,italo_romance,germanic
scn,slv,0.402860,italo_romance,slavic
lmo,slv,0.392028,italo_romance,slavic
fur,slv,0.386351,italo_romance,slavic
