code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,lmo,0.5876691341400146,scn,0.8362745642662048,sc,0.8788818120956421
lij,vec,0.6984342336654663,sc,0.8441938161849976,lmo,0.8634816408157349
lmo,fur,0.5876691341400146,vec,0.7290096282958984,sc,0.7736260294914246
sc,scn,0.7373893857002258,lmo,0.7736260294914246,lij,0.8441938161849976
scn,sc,0.7373893857002258,lmo,0.788598895072937,fur,0.8362745642662048
vec,lij,0.6984342336654663,lmo,0.7290096282958984,sc,0.9510452151298523
ita,spa,0.7503565549850464,eng,0.8229213953018188,fra,0.8373256921768188
spa,cat,0.6727050542831421,eng,0.719935417175293,ita,0.7503565549850464
fra,eng,0.6925447583198547,deu,0.7276366353034973,spa,0.7566360235214233
cat,spa,0.6727050542831421,fra,0.7568689584732056,eng,0.8922582268714905
deu,eng,0.5749541521072388,fra,0.7276366353034973,spa,0.8379693627357483
slv,deu,0.8450590968132019,eng,0.8492683172225952,spa,0.9473646879196167
eng,deu,0.5749541521072388,fra,0.6925447583198547,spa,0.719935417175293
