source,target,distance,similarity,target_family,target_display
cat,lmo,0.366643,0.633357,italo_romance,Lombard
cat,spa,0.712834,0.287166,romance,Spanish
cat,slv,0.799126,0.200874,slavic,Slovenian
cat,sc,0.911321,0.088679,italo_romance,Sardinian
cat,fra,0.942129,0.057871,romance,French
cat,fur,0.978401,0.021599,italo_romance,Friulian
cat,vec,1.010138,-0.010138,italo_romance,Venetian
cat,lij,1.125553,-0.125553,italo_romance,Ligurian
cat,deu,1.267982,-0.267982,germanic,German
cat,eng,1.293855,-0.293855,english,English
cat,scn,1.373332,-0.373332,italo_romance,Sicilian
cat,ita,1.416153,-0.416153,italian,Italian
deu,eng,0.547896,0.452104,english,English
deu,fra,0.748950,0.251050,romance,French
deu,slv,1.035229,-0.035229,slavic,Slovenian
deu,fur,1.072466,-0.072466,italo_romance,Friulian
deu,lmo,1.143523,-0.143523,italo_romance,Lombard
deu,scn,1.167452,-0.167452,italo_romance,Sicilian
deu,cat,1.267982,-0.267982,romance,Catalan
deu,ita,1.270401,-0.270401,italian,Italian
deu,spa,1.286652,-0.286652,romance,Spanish
deu,sc,1.364561,-0.364561,italo_romance,Sardinian
deu,lij,1.375349,-0.375349,italo_romance,Ligurian
deu,vec,1.412706,-0.412706,italo_romance,Venetian
eng,deu,0.547896,0.452104,germanic,German
eng,fra,0.832019,0.167981,romance,French
eng,ita,0.972417,0.027583,italian,Italian
eng,spa,1.065965,-0.065965,romance,Spanish
eng,slv,1.123713,-0.123713,slavic,Slovenian
eng,lij,1.212057,-0.212057,italo_romance,Ligurian
eng,vec,1.216228,-0.216228,italo_romance,Venetian
eng,fur,1.228401,-0.228401,italo_romance,Friulian
eng,scn,1.244431,-0.244431,italo_romance,Sicilian
eng,cat,1.293855,-0.293855,romance,Catalan
eng,sc,1.297412,-0.297412,italo_romance,Sardinian
eng,lmo,1.303718,-0.303718,italo_romance,Lombard
fra,fur,0.325800,0.674200,italo_romance,Friulian
fra,deu,0.748950,0.251050,germanic,German
fra,eng,0.832019,0.167981,english,English
fra,cat,0.942129,0.057871,romance,Catalan
fra,slv,1.036162,-0.036162,slavic,Slovenian
