,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,-0.062107,0.412331,0.121118,0.163725,0.016781,-0.414402,-0.455996,-0.194942,-0.231360,-0.252466,-0.141379,-0.333195
lij,-0.062107,1.000000,0.136518,0.155806,0.024152,0.301566,-0.078689,-0.234055,-0.266704,-0.284940,-0.326441,-0.219034,-0.302556
lmo,0.412331,0.136518,1.000000,0.226374,0.211401,0.270990,-0.480992,-0.461011,-0.399151,-0.159667,-0.363644,-0.233562,-0.422353
sc,0.121118,0.155806,0.226374,1.000000,0.262611,0.048955,-0.358819,-0.241956,-0.334909,-0.237659,-0.380130,-0.239450,-0.403175
scn,0.163725,0.024152,0.211401,0.262611,1.000000,-0.055387,-0.028900,-0.398977,-0.411888,-0.273580,-0.301841,-0.246225,-0.366857
vec,0.016781,0.301566,0.270990,0.048955,-0.055387,1.000000,-0.018653,-0.151233,-0.276801,-0.255258,-0.346040,-0.036206,-0.325882
ita,-0.414402,-0.078689,-0.480992,-0.358819,-0.028900,-0.018653,1.000000,0.249643,0.162674,0.044538,0.084196,0.041560,0.177079
spa,-0.455996,-0.234055,-0.461011,-0.241956,-0.398977,-0.151233,0.249643,1.000000,0.243364,0.327295,0.162031,0.052635,0.280065
fra,-0.194942,-0.266704,-0.399151,-0.334909,-0.411888,-0.276801,0.162674,0.243364,1.000000,0.243131,0.272363,-0.019466,0.307455
cat,-0.231360,-0.284940,-0.159667,-0.237659,-0.273580,-0.255258,0.044538,0.327295,0.243131,1.000000,0.029305,-0.104614,0.107742
deu,-0.252466,-0.326441,-0.363644,-0.380130,-0.301841,-0.346040,0.084196,0.162031,0.272363,0.029305,1.000000,0.154941,0.425046
slv,-0.141379,-0.219034,-0.233562,-0.239450,-0.246225,-0.036206,0.041560,0.052635,-0.019466,-0.104614,0.154941,1.000000,0.150732
eng,-0.333195,-0.302556,-0.422353,-0.403175,-0.366857,-0.325882,0.177079,0.280065,0.307455,0.107742,0.425046,0.150732,1.000000
