,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.497042,0.508834,0.500332,0.480173,0.538273,0.527359,0.507306,0.517570,0.519665,0.434003,0.375534,0.482277
lij,0.497042,1.000000,0.518374,0.540429,0.507758,0.609098,0.616795,0.552665,0.497029,0.531536,0.456120,0.406431,0.526001
lmo,0.508834,0.518374,1.000000,0.508354,0.499380,0.559176,0.555262,0.513653,0.471463,0.532790,0.435874,0.376127,0.488030
sc,0.500332,0.540429,0.508354,1.000000,0.505615,0.569606,0.562298,0.568440,0.498825,0.536746,0.460306,0.402334,0.528246
scn,0.480173,0.507758,0.499380,0.505615,1.000000,0.542792,0.565256,0.488884,0.453031,0.483887,0.427513,0.373142,0.477074
vec,0.538273,0.609098,0.559176,0.569606,0.542792,1.000000,0.694556,0.619195,0.532940,0.587185,0.492834,0.443978,0.584489
ita,0.527359,0.616795,0.555262,0.562298,0.565256,0.694556,1.000000,0.661165,0.569312,0.621511,0.522261,0.453173,0.627365
spa,0.507306,0.552665,0.513653,0.568440,0.488884,0.619195,0.661165,1.000000,0.578555,0.696921,0.507373,0.449877,0.622381
fra,0.517570,0.497029,0.471463,0.498825,0.453031,0.532940,0.569312,0.578555,1.000000,0.579982,0.526324,0.424405,0.601515
cat,0.519665,0.531536,0.532790,0.536746,0.483887,0.587185,0.621511,0.696921,0.579982,1.000000,0.490313,0.434703,0.586960
deu,0.434003,0.456120,0.435874,0.460306,0.427513,0.492834,0.522261,0.507373,0.526324,0.490313,1.000000,0.442623,0.593465
slv,0.375534,0.406431,0.376127,0.402334,0.373142,0.443978,0.453173,0.449877,0.424405,0.434703,0.442623,1.000000,0.461352
eng,0.482277,0.526001,0.488030,0.528246,0.477074,0.584489,0.627365,0.622381,0.601515,0.586960,0.593465,0.461352,1.000000
