dialect,reference,ref_family,mean_similarity
fur,ita,italian,0.527359
fur,cat,romance,0.519665
fur,fra,romance,0.517570
fur,spa,romance,0.507306
fur,eng,english,0.482277
fur,deu,germanic,0.434003
fur,slv,slavic,0.375534
lij,ita,italian,0.616795
lij,spa,romance,0.552665
lij,cat,romance,0.531536
lij,eng,english,0.526001
lij,fra,romance,0.497029
lij,deu,germanic,0.456120
lij,slv,slavic,0.406431
lmo,ita,italian,0.555262
lmo,cat,romance,0.532790
lmo,spa,romance,0.513653
lmo,eng,english,0.488030
lmo,fra,romance,0.471463
lmo,deu,germanic,0.435874
lmo,slv,slavic,0.376127
sc,spa,romance,0.568440
sc,ita,italian,0.562298
sc,cat,romance,0.536746
sc,eng,english,0.528246
sc,fra,romance,0.498825
sc,deu,germanic,0.460306
sc,slv,slavic,0.402334
scn,ita,italian,0.565256
scn,spa,romance,0.488884
scn,cat,romance,0.483887
scn,eng,english,0.477074
scn,fra,romance,0.453031
scn,deu,germanic,0.427513
scn,slv,slavic,0.373142
vec,ita,italian,0.694556
vec,spa,romance,0.619195
vec,cat,romance,0.587185
vec,eng,english,0.584489
vec,fra,romance,0.532940
vec,deu,germanic,0.492834
vec,slv,slavic,0.443978
