variety_A,variety_B,mean_similarity,family_A,family_B
spa,cat,0.788482,romance,romance
ita,spa,0.747049,italian,romance
spa,eng,0.730675,romance,english
ita,cat,0.726397,italian,romance
ita,eng,0.717409,italian,english
fra,eng,0.711908,romance,english
vec,ita,0.710580,italo_romance,italian
spa,fra,0.708464,romance,romance
ita,fra,0.706327,italian,romance
fra,cat,0.705263,romance,romance
cat,eng,0.696385,romance,english
deu,eng,0.688332,germanic,english
vec,spa,0.645395,italo_romance,romance
ita,deu,0.641439,italian,germanic
spa,deu,0.641075,romance,germanic
fra,deu,0.639040,romance,germanic
vec,cat,0.636709,italo_romance,romance
slv,eng,0.625865,slavic,english
cat,deu,0.621883,romance,germanic
ita,slv,0.621482,italian,slavic
spa,slv,0.614604,romance,slavic
vec,fra,0.606303,italo_romance,romance
lij,ita,0.605320,italo_romance,italian
vec,eng,0.605236,italo_romance,english
deu,slv,0.605109,germanic,slavic
cat,slv,0.599037,romance,slavic
lij,vec,0.589721,italo_romance,italo_romance
fra,slv,0.585368,romance,slavic
sc,spa,0.584393,italo_romance,romance
sc,ita,0.582117,italo_romance,italian
sc,cat,0.579462,italo_romance,romance
scn,ita,0.576002,italo_romance,italian
sc,vec,0.565068,italo_romance,italo_romance
lmo,ita,0.562284,italo_romance,italian
lmo,vec,0.560697,italo_romance,italo_romance
lij,spa,0.557951,italo_romance,romance
lij,cat,0.557809,italo_romance,romance
sc,fra,0.553039,italo_romance,romance
vec,deu,0.552337,italo_romance,germanic
vec,slv,0.545660,italo_romance,slavic
scn,vec,0.543732,italo_romance,italo_romance
lij,fra,0.541994,italo_romance,romance
lmo,cat,0.540278,italo_romance,romance
sc,eng,0.539614,italo_romance,english
fur,vec,0.536373,italo_romance,italo_romance
fur,ita,0.527759,italo_romance,italian
lmo,spa,0.527173,italo_romance,romance
lij,sc,0.525899,italo_romance,italo_romance
lij,eng,0.525280,italo_romance,english
scn,cat,0.523906,italo_romance,romance
fur,cat,0.523136,italo_romance,romance
scn,spa,0.518642,italo_romance,romance
lmo,sc,0.516307,italo_romance,italo_romance
lij,lmo,0.515347,italo_romance,italo_romance
sc,scn,0.510692,italo_romance,italo_romance
fur,spa,0.509495,italo_romance,romance
fur,lmo,0.509302,italo_romance,italo_romance
lmo,fra,0.508555,italo_romance,romance
fur,fra,0.508295,italo_romance,romance
scn,fra,0.506205,italo_romance,romance
fur,sc,0.506103,italo_romance,italo_romance
sc,deu,0.504886,italo_romance,germanic
lmo,scn,0.502046,italo_romance,italo_romance
lij,scn,0.500780,italo_romance,italo_romance
lmo,eng,0.500162,italo_romance,english
scn,eng,0.495976,italo_romance,english
sc,slv,0.489203,italo_romance,slavic
fur,lij,0.488320,italo_romance,italo_romance
lij,deu,0.487883,italo_romance,germanic
fur,eng,0.483236,italo_romance,english
fur,scn,0.482241,italo_romance,italo_romance
lij,slv,0.476364,italo_romance,slavic
scn,deu,0.470730,italo_romance,germanic
lmo,deu,0.469785,italo_romance,germanic
fur,deu,0.457222,italo_romance,germanic
lmo,slv,0.455928,italo_romance,slavic
scn,slv,0.455770,italo_romance,slavic
fur,slv,0.444375,italo_romance,slavic
