,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,1.040799,0.455608,0.892034,0.982710,1.307471,1.613837,1.602613,0.918186,1.364553,0.963029,1.204174,1.166818
lij,1.040799,0.000000,0.691666,0.997953,0.848596,0.613387,1.108547,1.288383,1.341005,1.249646,1.487825,1.367971,1.548117
lmo,0.455608,0.691666,0.000000,1.000508,0.856094,0.915444,1.604901,1.550586,1.239336,1.124421,1.223571,1.357786,1.466331
sc,0.892034,0.997953,1.000508,0.000000,0.820029,1.398766,1.402964,1.248548,1.408230,1.387791,1.158994,1.295348,1.263291
scn,0.982710,0.848596,0.856094,0.820029,0.000000,1.031499,0.952614,1.611361,1.678229,1.620751,1.358418,1.176924,1.491833
vec,1.307471,0.613387,0.915444,1.398766,1.031499,0.000000,0.852435,0.838432,1.036170,0.839826,1.381128,0.850044,1.299501
ita,1.613837,1.108547,1.604901,1.402964,0.952614,0.852435,0.000000,0.526608,0.892772,0.723096,1.103559,0.910430,0.842099
spa,1.602613,1.288383,1.550586,1.248548,1.611361,0.838432,0.526608,0.000000,0.497099,0.242812,0.850387,0.789999,0.552883
fra,0.918186,1.341005,1.239336,1.408230,1.678229,1.036170,0.892772,0.497099,0.000000,0.406801,0.685239,0.873826,0.551525
cat,1.364553,1.249646,1.124421,1.387791,1.620751,0.839826,0.723096,0.242812,0.406801,0.000000,0.875533,0.953963,0.699652
deu,0.963029,1.487825,1.223571,1.158994,1.358418,1.381128,1.103559,0.850387,0.685239,0.875533,0.000000,0.728972,0.484193
slv,1.204174,1.367971,1.357786,1.295348,1.176924,0.850044,0.910430,0.789999,0.873826,0.953963,0.728972,0.000000,0.641790
eng,1.166818,1.548117,1.466331,1.263291,1.491833,1.299501,0.842099,0.552883,0.551525,0.699652,0.484193,0.641790,0.000000
