variety_A,variety_B,mean_similarity,family_A,family_B
spa,cat,0.637767,romance,romance
ita,eng,0.611783,italian,english
fra,eng,0.604833,romance,english
ita,spa,0.603768,italian,romance
ita,cat,0.599825,italian,romance
vec,ita,0.598014,italo_romance,italian
spa,eng,0.596849,romance,english
fra,cat,0.592599,romance,romance
ita,fra,0.590067,italian,romance
cat,eng,0.589077,romance,english
deu,eng,0.588681,germanic,english
spa,fra,0.579355,romance,romance
vec,cat,0.541546,italo_romance,romance
ita,deu,0.524564,italian,germanic
vec,spa,0.520952,italo_romance,romance
vec,fra,0.519801,italo_romance,romance
vec,eng,0.519159,italo_romance,english
slv,eng,0.511210,slavic,english
fra,deu,0.509964,romance,germanic
lij,vec,0.503851,italo_romance,italo_romance
cat,deu,0.503653,romance,germanic
spa,deu,0.503159,romance,germanic
ita,slv,0.496349,italian,slavic
lij,ita,0.492538,italo_romance,italian
deu,slv,0.473646,germanic,slavic
spa,slv,0.470152,romance,slavic
cat,slv,0.469660,romance,slavic
fra,slv,0.463076,romance,slavic
fur,vec,0.459887,italo_romance,italo_romance
lmo,vec,0.459385,italo_romance,italo_romance
vec,deu,0.456084,italo_romance,germanic
fur,ita,0.455596,italo_romance,italian
fur,cat,0.454883,italo_romance,romance
lij,cat,0.454797,italo_romance,romance
lij,fra,0.454571,italo_romance,romance
scn,ita,0.453409,italo_romance,italian
fur,fra,0.450005,italo_romance,romance
sc,cat,0.445097,italo_romance,romance
scn,vec,0.439981,italo_romance,italo_romance
lij,lmo,0.437425,italo_romance,italo_romance
lij,spa,0.436965,italo_romance,romance
fur,lmo,0.435490,italo_romance,italo_romance
sc,ita,0.435488,italo_romance,italian
lij,eng,0.433972,italo_romance,english
vec,slv,0.433370,italo_romance,slavic
sc,vec,0.432893,italo_romance,italo_romance
lmo,ita,0.431830,italo_romance,italian
sc,fra,0.429852,italo_romance,romance
fur,sc,0.429850,italo_romance,italo_romance
sc,spa,0.429810,italo_romance,romance
fur,lij,0.426879,italo_romance,italo_romance
fur,spa,0.422912,italo_romance,romance
fur,eng,0.422704,italo_romance,english
lmo,cat,0.421579,italo_romance,romance
lij,sc,0.418028,italo_romance,italo_romance
sc,eng,0.412723,italo_romance,english
lmo,fra,0.408984,italo_romance,romance
scn,cat,0.407514,italo_romance,romance
fur,scn,0.403366,italo_romance,italo_romance
lij,scn,0.400537,italo_romance,italo_romance
scn,fra,0.398669,italo_romance,romance
sc,scn,0.398599,italo_romance,italo_romance
lmo,eng,0.393095,italo_romance,english
lmo,spa,0.391723,italo_romance,romance
lij,deu,0.390281,italo_romance,germanic
scn,eng,0.389969,italo_romance,english
fur,deu,0.385614,italo_romance,germanic
scn,spa,0.383094,italo_romance,romance
lmo,sc,0.381185,italo_romance,italo_romance
lmo,scn,0.378870,italo_romance,italo_romance
sc,deu,0.371371,italo_romance,germanic
lmo,deu,0.362142,italo_romance,germanic
lij,slv,0.360284,italo_romance,slavic
scn,deu,0.359793,italo_romance,germanic
fur,slv,0.356753,italo_romance,slavic
sc,slv,0.344505,italo_romance,slavic
scn,slv,0.337450,italo_romance,slavic
lmo,slv,0.333682,italo_romance,slavic
