,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.006021,0.004985,0.007091,0.007274,0.005076,0.004591,0.005123,0.001810,0.004233,0.004926,0.003906,0.006989,0.006002,0.004804,0.004788,0.005018
lij,0.006021,0.000000,0.005384,0.007300,0.007377,0.004239,0.003043,0.004529,0.005509,0.004875,0.002205,0.005106,0.007125,0.006224,0.005624,0.005688,0.005060
lmo,0.004985,0.005384,0.000000,0.006399,0.005817,0.003759,0.004441,0.004072,0.004662,0.001693,0.005071,0.001374,0.006339,0.006234,0.005210,0.005177,0.003745
sc,0.007091,0.007300,0.006399,0.000000,0.006646,0.005342,0.004700,0.003695,0.006522,0.004267,0.004116,0.003946,0.008383,0.007068,0.006990,0.006069,0.005648
scn,0.007274,0.007377,0.005817,0.006646,0.000000,0.007779,0.004375,0.008170,0.008445,0.007040,0.007741,0.006357,0.010242,0.009376,0.008710,0.007684,0.007315
vec,0.005076,0.004239,0.003759,0.005342,0.007779,0.000000,0.001933,0.001262,0.003676,0.002255,0.002326,0.002460,0.006060,0.004088,0.002228,0.002448,0.002617
ita,0.004591,0.003043,0.004441,0.004700,0.004375,0.001933,0.000000,0.001687,0.003209,0.002604,0.001566,0.003259,0.005173,0.003465,0.003095,0.002991,0.002780
spa,0.005123,0.004529,0.004072,0.003695,0.008170,0.001262,0.001687,0.000000,0.002711,0.001245,0.001132,0.001792,0.004479,0.002937,0.002178,0.002246,0.001939
fra,0.001810,0.005509,0.004662,0.006522,0.008445,0.003676,0.003209,0.002711,0.000000,0.002568,0.003009,0.003001,0.003848,0.003024,0.003160,0.003376,0.003109
cat,0.004233,0.004875,0.001693,0.004267,0.007040,0.002255,0.002604,0.001245,0.002568,0.000000,0.002271,0.000487,0.004544,0.003598,0.002852,0.002923,0.001988
por,0.004926,0.002205,0.005071,0.004116,0.007741,0.002326,0.001566,0.001132,0.003009,0.002271,0.000000,0.002737,0.004834,0.003309,0.002618,0.002505,0.002389
oci,0.003906,0.005106,0.001374,0.003946,0.006357,0.002460,0.003259,0.001792,0.003001,0.000487,0.002737,0.000000,0.005382,0.004387,0.002673,0.002525,0.002057
deu,0.006989,0.007125,0.006339,0.008383,0.010242,0.006060,0.005173,0.004479,0.003848,0.004544,0.004834,0.005382,0.000000,0.003046,0.005322,0.005669,0.004079
eng,0.006002,0.006224,0.006234,0.007068,0.009376,0.004088,0.003465,0.002937,0.003024,0.003598,0.003309,0.004387,0.003046,0.000000,0.003498,0.003730,0.003118
slv,0.004804,0.005624,0.005210,0.006990,0.008710,0.002228,0.003095,0.002178,0.003160,0.002852,0.002618,0.002673,0.005322,0.003498,0.000000,0.000280,0.001819
hrv,0.004788,0.005688,0.005177,0.006069,0.007684,0.002448,0.002991,0.002246,0.003376,0.002923,0.002505,0.002525,0.005669,0.003730,0.000280,0.000000,0.001852
hun,0.005018,0.005060,0.003745,0.005648,0.007315,0.002617,0.002780,0.001939,0.003109,0.001988,0.002389,0.002057,0.004079,0.003118,0.001819,0.001852,0.000000
