source,target,distance,similarity,target_family,target_display
cat,oci,0.000487,0.999513,romance,Occitan
cat,spa,0.001245,0.998755,romance,Spanish
cat,lmo,0.001693,0.998307,italo_romance,Lombard
cat,hun,0.001988,0.998012,uralic,Hungarian
cat,vec,0.002255,0.997745,italo_romance,Venetian
cat,por,0.002271,0.997729,romance,Portuguese
cat,fra,0.002568,0.997432,romance,French
cat,ita,0.002604,0.997396,italian,Italian
cat,slv,0.002852,0.997148,slavic,Slovenian
cat,hrv,0.002923,0.997077,slavic,Croatian
cat,eng,0.003598,0.996402,english,English
cat,fur,0.004233,0.995767,italo_romance,Friulian
cat,sc,0.004267,0.995733,italo_romance,Sardinian
cat,deu,0.004544,0.995456,germanic,German
cat,lij,0.004875,0.995125,italo_romance,Ligurian
cat,scn,0.007040,0.992960,italo_romance,Sicilian
deu,eng,0.003046,0.996954,english,English
deu,fra,0.003848,0.996152,romance,French
deu,hun,0.004079,0.995921,uralic,Hungarian
deu,spa,0.004479,0.995521,romance,Spanish
deu,cat,0.004544,0.995456,romance,Catalan
deu,por,0.004834,0.995166,romance,Portuguese
deu,ita,0.005173,0.994827,italian,Italian
deu,slv,0.005322,0.994678,slavic,Slovenian
deu,oci,0.005382,0.994618,romance,Occitan
deu,hrv,0.005669,0.994331,slavic,Croatian
deu,vec,0.006060,0.993940,italo_romance,Venetian
deu,lmo,0.006339,0.993661,italo_romance,Lombard
deu,fur,0.006989,0.993011,italo_romance,Friulian
deu,lij,0.007125,0.992875,italo_romance,Ligurian
deu,sc,0.008383,0.991617,italo_romance,Sardinian
deu,scn,0.010242,0.989758,italo_romance,Sicilian
eng,spa,0.002937,0.997063,romance,Spanish
eng,fra,0.003024,0.996976,romance,French
eng,deu,0.003046,0.996954,germanic,German
eng,hun,0.003118,0.996882,uralic,Hungarian
eng,por,0.003309,0.996691,romance,Portuguese
eng,ita,0.003465,0.996535,italian,Italian
eng,slv,0.003498,0.996502,slavic,Slovenian
eng,cat,0.003598,0.996402,romance,Catalan
eng,hrv,0.003730,0.996270,slavic,Croatian
eng,vec,0.004088,0.995912,italo_romance,Venetian
eng,oci,0.004387,0.995613,romance,Occitan
eng,fur,0.006002,0.993998,italo_romance,Friulian
eng,lij,0.006224,0.993776,italo_romance,Ligurian
eng,lmo,0.006234,0.993766,italo_romance,Lombard
eng,sc,0.007068,0.992932,italo_romance,Sardinian
eng,scn,0.009376,0.990624,italo_romance,Sicilian
fra,fur,0.001810,0.998190,italo_romance,Friulian
fra,cat,0.002568,0.997432,romance,Catalan
fra,spa,0.002711,0.997289,romance,Spanish
fra,oci,0.003001,0.996999,romance,Occitan
fra,por,0.003009,0.996991,romance,Portuguese
fra,eng,0.003024,0.996976,english,English
fra,hun,0.003109,0.996891,uralic,Hungarian
fra,slv,0.003160,0.996840,slavic,Slovenian
fra,ita,0.003209,0.996791,italian,Italian
fra,hrv,0.003376,0.996624,slavic,Croatian
fra,vec,0.003676,0.996324,italo_romance,Venetian
fra,deu,0.003848,0.996152,germanic,German
fra,lmo,0.004662,0.995338,italo_romance,Lombard
fra,lij,0.005509,0.994491,italo_romance,Ligurian
fra,sc,0.006522,0.993478,italo_romance,Sardinian
fra,scn,0.008445,0.991555,italo_romance,Sicilian
fur,fra,0.001810,0.998190,romance,French
fur,oci,0.003906,0.996094,romance,Occitan
fur,cat,0.004233,0.995767,romance,Catalan
fur,ita,0.004591,0.995409,italian,Italian
fur,hrv,0.004788,0.995212,slavic,Croatian
fur,slv,0.004804,0.995196,slavic,Slovenian
fur,por,0.004926,0.995074,romance,Portuguese
fur,lmo,0.004985,0.995015,italo_romance,Lombard
fur,hun,0.005018,0.994982,uralic,Hungarian
fur,vec,0.005076,0.994924,italo_romance,Venetian
fur,spa,0.005123,0.994877,romance,Spanish
fur,eng,0.006002,0.993998,english,English
fur,lij,0.006021,0.993979,italo_romance,Ligurian
fur,deu,0.006989,0.993011,germanic,German
fur,sc,0.007091,0.992909,italo_romance,Sardinian
fur,scn,0.007274,0.992726,italo_romance,Sicilian
hrv,slv,0.000280,0.999720,slavic,Slovenian
hrv,hun,0.001852,0.998148,uralic,Hungarian
hrv,spa,0.002246,0.997754,romance,Spanish
hrv,vec,0.002448,0.997552,italo_romance,Venetian
hrv,por,0.002505,0.997495,romance,Portuguese
hrv,oci,0.002525,0.997475,romance,Occitan
hrv,cat,0.002923,0.997077,romance,Catalan
hrv,ita,0.002991,0.997009,italian,Italian
hrv,fra,0.003376,0.996624,romance,French
hrv,eng,0.003730,0.996270,english,English
hrv,fur,0.004788,0.995212,italo_romance,Friulian
hrv,lmo,0.005177,0.994823,italo_romance,Lombard
hrv,deu,0.005669,0.994331,germanic,German
hrv,lij,0.005688,0.994312,italo_romance,Ligurian
hrv,sc,0.006069,0.993931,italo_romance,Sardinian
hrv,scn,0.007684,0.992316,italo_romance,Sicilian
hun,slv,0.001819,0.998181,slavic,Slovenian
hun,hrv,0.001852,0.998148,slavic,Croatian
hun,spa,0.001939,0.998061,romance,Spanish
hun,cat,0.001988,0.998012,romance,Catalan
