Silhouette report (XLM-R FT (xlmr_finetuned_wikiOLDI_dialects_native, flores centroid))
============================================================
  n_varieties           = 17
  linkage_method        = average
  silhouette (family)            = -0.0524
  silhouette (romance vs rest)   = +0.1204
  silhouette (romance, no dial.) = +0.1624

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  hrv                   slavic               +0.8487
  slv                   slavic               +0.8460
  cat                   romance              +0.1735
  fra                   romance              +0.0669
  oci                   romance              +0.0255
  hun                   uralic               +0.0000
  eng                   english              +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  spa                   romance              -0.0192
  sc                    italo_romance        -0.3121
  por                   romance              -0.3155
  fur                   italo_romance        -0.3432
  lmo                   italo_romance        -0.3596
  scn                   italo_romance        -0.3731
  lij                   italo_romance        -0.4982
  vec                   italo_romance        -0.6310
