,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.992213,0.992669,0.991349,0.990983,0.993434,0.993563,0.993025,0.996172,0.993993,0.993078,0.994267,0.990464,0.991728,0.992847,0.992884,0.992762
lij,0.992213,1.000000,0.992107,0.990999,0.990739,0.994173,0.995102,0.993445,0.992228,0.993179,0.995737,0.992878,0.990136,0.991350,0.991819,0.991763,0.992528
lmo,0.992669,0.992107,1.000000,0.991272,0.991711,0.993953,0.992892,0.993229,0.992366,0.995709,0.992079,0.995976,0.990249,0.990619,0.991603,0.991648,0.993200
sc,0.991349,0.990999,0.991272,1.000000,0.991795,0.993222,0.993553,0.994606,0.991462,0.994120,0.994085,0.994353,0.989125,0.990773,0.990695,0.991636,0.992245
scn,0.990983,0.990739,0.991711,0.991795,1.000000,0.990634,0.993758,0.989855,0.989304,0.991058,0.990130,0.991659,0.987051,0.988208,0.988805,0.989861,0.990358
vec,0.993434,0.994173,0.993953,0.993222,0.990634,1.000000,0.996598,0.997120,0.994414,0.996173,0.995917,0.995814,0.991587,0.993919,0.995602,0.995393,0.995364
ita,0.993563,0.995102,0.992892,0.993553,0.993758,0.996598,1.000000,0.996702,0.994854,0.995742,0.996681,0.994780,0.992496,0.994595,0.994676,0.994795,0.995140
spa,0.993025,0.993445,0.993229,0.994606,0.989855,0.997120,0.996702,1.000000,0.995484,0.997320,0.997415,0.996399,0.993267,0.995218,0.995643,0.995593,0.996111
fra,0.996172,0.992228,0.992366,0.991462,0.989304,0.994414,0.994854,0.995484,1.000000,0.995608,0.995068,0.994960,0.993811,0.994968,0.994456,0.994245,0.994651
cat,0.993993,0.993179,0.995709,0.994120,0.991058,0.996173,0.995742,0.997320,0.995608,1.000000,0.996140,0.997918,0.993086,0.994425,0.994880,0.994818,0.995948
por,0.993078,0.995737,0.992079,0.994085,0.990130,0.995917,0.996681,0.997415,0.995068,0.996140,1.000000,0.995304,0.992740,0.994762,0.995021,0.995168,0.995486
oci,0.994267,0.992878,0.995976,0.994353,0.991659,0.995814,0.994780,0.996399,0.994960,0.997918,0.995304,1.000000,0.991928,0.993277,0.994806,0.994969,0.995605
deu,0.990464,0.990136,0.990249,0.989125,0.987051,0.991587,0.992496,0.993267,0.993811,0.993086,0.992740,0.991928,1.000000,0.994900,0.992182,0.991755,0.993582
eng,0.991728,0.991350,0.990619,0.990773,0.988208,0.993919,0.994595,0.995218,0.994968,0.994425,0.994762,0.993277,0.994900,1.000000,0.994123,0.993905,0.994738
slv,0.992847,0.991819,0.991603,0.990695,0.988805,0.995602,0.994676,0.995643,0.994456,0.994880,0.995021,0.994806,0.992182,0.994123,1.000000,0.997778,0.995861
hrv,0.992884,0.991763,0.991648,0.991636,0.989861,0.995393,0.994795,0.995593,0.994245,0.994818,0.995168,0.994969,0.991755,0.993905,0.997778,1.000000,0.995812
hun,0.992762,0.992528,0.993200,0.992245,0.990358,0.995364,0.995140,0.996111,0.994651,0.995948,0.995486,0.995605,0.993582,0.994738,0.995861,0.995812,1.000000
