variety_A,variety_B,mean_similarity,family_A,family_B
cat,oci,0.997918,romance,romance
slv,hrv,0.997778,slavic,slavic
spa,por,0.997415,romance,romance
spa,cat,0.997320,romance,romance
vec,spa,0.997120,italo_romance,romance
ita,spa,0.996702,italian,romance
ita,por,0.996681,italian,romance
vec,ita,0.996598,italo_romance,italian
spa,oci,0.996399,romance,romance
vec,cat,0.996173,italo_romance,romance
fur,fra,0.996172,italo_romance,romance
cat,por,0.996140,romance,romance
spa,hun,0.996111,romance,uralic
lmo,oci,0.995976,italo_romance,romance
cat,hun,0.995948,romance,uralic
vec,por,0.995917,italo_romance,romance
slv,hun,0.995861,slavic,uralic
vec,oci,0.995814,italo_romance,romance
hrv,hun,0.995812,slavic,uralic
ita,cat,0.995742,italian,romance
lij,por,0.995737,italo_romance,romance
lmo,cat,0.995709,italo_romance,romance
spa,slv,0.995643,romance,slavic
fra,cat,0.995608,romance,romance
oci,hun,0.995605,romance,uralic
vec,slv,0.995602,italo_romance,slavic
spa,hrv,0.995593,romance,slavic
por,hun,0.995486,romance,uralic
spa,fra,0.995484,romance,romance
vec,hrv,0.995393,italo_romance,slavic
vec,hun,0.995364,italo_romance,uralic
por,oci,0.995304,romance,romance
spa,eng,0.995218,romance,english
por,hrv,0.995168,romance,slavic
ita,hun,0.995140,italian,uralic
lij,ita,0.995102,italo_romance,italian
fra,por,0.995068,romance,romance
por,slv,0.995021,romance,slavic
oci,hrv,0.994969,romance,slavic
fra,eng,0.994968,romance,english
fra,oci,0.994960,romance,romance
deu,eng,0.994900,germanic,english
cat,slv,0.994880,romance,slavic
ita,fra,0.994854,italian,romance
cat,hrv,0.994818,romance,slavic
oci,slv,0.994806,romance,slavic
ita,hrv,0.994795,italian,slavic
ita,oci,0.994780,italian,romance
por,eng,0.994762,romance,english
eng,hun,0.994738,english,uralic
ita,slv,0.994676,italian,slavic
fra,hun,0.994651,romance,uralic
sc,spa,0.994606,italo_romance,romance
ita,eng,0.994595,italian,english
fra,slv,0.994456,romance,slavic
cat,eng,0.994425,romance,english
vec,fra,0.994414,italo_romance,romance
sc,oci,0.994353,italo_romance,romance
fur,oci,0.994267,italo_romance,romance
fra,hrv,0.994245,romance,slavic
lij,vec,0.994173,italo_romance,italo_romance
eng,slv,0.994123,english,slavic
sc,cat,0.994120,italo_romance,romance
sc,por,0.994085,italo_romance,romance
fur,cat,0.993993,italo_romance,romance
lmo,vec,0.993953,italo_romance,italo_romance
vec,eng,0.993919,italo_romance,english
eng,hrv,0.993905,english,slavic
fra,deu,0.993811,romance,germanic
scn,ita,0.993758,italo_romance,italian
deu,hun,0.993582,germanic,uralic
fur,ita,0.993563,italo_romance,italian
sc,ita,0.993553,italo_romance,italian
lij,spa,0.993445,italo_romance,romance
fur,vec,0.993434,italo_romance,italo_romance
oci,eng,0.993277,romance,english
spa,deu,0.993267,romance,germanic
lmo,spa,0.993229,italo_romance,romance
sc,vec,0.993222,italo_romance,italo_romance
lmo,hun,0.993200,italo_romance,uralic
lij,cat,0.993179,italo_romance,romance
cat,deu,0.993086,romance,germanic
fur,por,0.993078,italo_romance,romance
fur,spa,0.993025,italo_romance,romance
lmo,ita,0.992892,italo_romance,italian
fur,hrv,0.992884,italo_romance,slavic
lij,oci,0.992878,italo_romance,romance
fur,slv,0.992847,italo_romance,slavic
fur,hun,0.992762,italo_romance,uralic
por,deu,0.992740,romance,germanic
fur,lmo,0.992669,italo_romance,italo_romance
lij,hun,0.992528,italo_romance,uralic
ita,deu,0.992496,italian,germanic
lmo,fra,0.992366,italo_romance,romance
sc,hun,0.992245,italo_romance,uralic
lij,fra,0.992228,italo_romance,romance
fur,lij,0.992213,italo_romance,italo_romance
deu,slv,0.992182,germanic,slavic
lij,lmo,0.992107,italo_romance,italo_romance
lmo,por,0.992079,italo_romance,romance
oci,deu,0.991928,romance,germanic
lij,slv,0.991819,italo_romance,slavic
sc,scn,0.991795,italo_romance,italo_romance
lij,hrv,0.991763,italo_romance,slavic
deu,hrv,0.991755,germanic,slavic
fur,eng,0.991728,italo_romance,english
lmo,scn,0.991711,italo_romance,italo_romance
scn,oci,0.991659,italo_romance,romance
lmo,hrv,0.991648,italo_romance,slavic
sc,hrv,0.991636,italo_romance,slavic
lmo,slv,0.991603,italo_romance,slavic
vec,deu,0.991587,italo_romance,germanic
sc,fra,0.991462,italo_romance,romance
lij,eng,0.991350,italo_romance,english
fur,sc,0.991349,italo_romance,italo_romance
lmo,sc,0.991272,italo_romance,italo_romance
scn,cat,0.991058,italo_romance,romance
lij,sc,0.990999,italo_romance,italo_romance
fur,scn,0.990983,italo_romance,italo_romance
sc,eng,0.990773,italo_romance,english
lij,scn,0.990739,italo_romance,italo_romance
sc,slv,0.990695,italo_romance,slavic
scn,vec,0.990634,italo_romance,italo_romance
lmo,eng,0.990619,italo_romance,english
fur,deu,0.990464,italo_romance,germanic
scn,hun,0.990358,italo_romance,uralic
lmo,deu,0.990249,italo_romance,germanic
lij,deu,0.990136,italo_romance,germanic
scn,por,0.990130,italo_romance,romance
scn,hrv,0.989861,italo_romance,slavic
scn,spa,0.989855,italo_romance,romance
scn,fra,0.989304,italo_romance,romance
sc,deu,0.989125,italo_romance,germanic
scn,slv,0.988805,italo_romance,slavic
scn,eng,0.988208,italo_romance,english
scn,deu,0.987051,italo_romance,germanic
