,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.000193,0.000334,0.000371,0.000398,0.000342,0.004126,0.004266,0.004575,0.006838,0.004483,0.001535,0.005860,0.003720,0.004911,0.004856,0.005477
lij,0.000193,0.000000,0.000250,0.000369,0.000382,0.000249,0.003619,0.003765,0.004193,0.006224,0.003909,0.001247,0.005357,0.003350,0.004537,0.004401,0.004949
lmo,0.000334,0.000250,0.000000,0.000396,0.000515,0.000401,0.004104,0.003913,0.004452,0.005729,0.004238,0.001032,0.005618,0.003574,0.004842,0.004635,0.005231
sc,0.000371,0.000369,0.000396,0.000000,0.000743,0.000410,0.004368,0.003734,0.004571,0.006410,0.004032,0.001242,0.005651,0.003415,0.004697,0.004537,0.005191
scn,0.000398,0.000382,0.000515,0.000743,0.000000,0.000548,0.003823,0.004681,0.005157,0.006954,0.004821,0.001886,0.006117,0.004154,0.005193,0.004974,0.005684
vec,0.000342,0.000249,0.000401,0.000410,0.000548,0.000000,0.003456,0.003574,0.004293,0.006190,0.003886,0.001288,0.005161,0.003068,0.004254,0.004080,0.004720
ita,0.004126,0.003619,0.004104,0.004368,0.003823,0.003456,0.000000,0.001886,0.001984,0.003596,0.001982,0.003149,0.002609,0.002051,0.002679,0.002475,0.002506
spa,0.004266,0.003765,0.003913,0.003734,0.004681,0.003574,0.001886,0.000000,0.001899,0.003271,0.001261,0.002404,0.002434,0.001532,0.002590,0.002373,0.002210
fra,0.004575,0.004193,0.004452,0.004571,0.005157,0.004293,0.001984,0.001899,0.000000,0.003292,0.001974,0.002941,0.002293,0.001905,0.003022,0.002805,0.002538
cat,0.006838,0.006224,0.005729,0.006410,0.006954,0.006190,0.003596,0.003271,0.003292,0.000000,0.003354,0.002531,0.004196,0.004121,0.005195,0.004655,0.004187
por,0.004483,0.003909,0.004238,0.004032,0.004821,0.003886,0.001982,0.001261,0.001974,0.003354,0.000000,0.002664,0.002475,0.001740,0.002690,0.002394,0.002236
oci,0.001535,0.001247,0.001032,0.001242,0.001886,0.001288,0.003149,0.002404,0.002941,0.002531,0.002664,0.000000,0.003948,0.002639,0.003986,0.003616,0.003655
deu,0.005860,0.005357,0.005618,0.005651,0.006117,0.005161,0.002609,0.002434,0.002293,0.004196,0.002475,0.003948,0.000000,0.001838,0.003043,0.002874,0.002155
eng,0.003720,0.003350,0.003574,0.003415,0.004154,0.003068,0.002051,0.001532,0.001905,0.004121,0.001740,0.002639,0.001838,0.000000,0.002167,0.001947,0.001933
slv,0.004911,0.004537,0.004842,0.004697,0.005193,0.004254,0.002679,0.002590,0.003022,0.005195,0.002690,0.003986,0.003043,0.002167,0.000000,0.001772,0.002696
hrv,0.004856,0.004401,0.004635,0.004537,0.004974,0.004080,0.002475,0.002373,0.002805,0.004655,0.002394,0.003616,0.002874,0.001947,0.001772,0.000000,0.002388
hun,0.005477,0.004949,0.005231,0.005191,0.005684,0.004720,0.002506,0.002210,0.002538,0.004187,0.002236,0.003655,0.002155,0.001933,0.002696,0.002388,0.000000
