code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,lij,0.0001933574676513672,lmo,0.0003342628479003906,vec,0.0003415346145629883
lij,fur,0.0001933574676513672,vec,0.00024944543838500977,lmo,0.00025022029876708984
lmo,lij,0.00025022029876708984,fur,0.0003342628479003906,sc,0.0003960132598876953
sc,lij,0.0003685951232910156,fur,0.0003714561462402344,lmo,0.0003960132598876953
scn,lij,0.00038182735443115234,fur,0.00039768218994140625,lmo,0.0005148649215698242
vec,lij,0.00024944543838500977,fur,0.0003415346145629883,lmo,0.0004006624221801758
ita,spa,0.001886129379272461,por,0.001982450485229492,fra,0.0019835233688354492
spa,por,0.0012606382369995117,eng,0.0015320181846618652,ita,0.001886129379272461
fra,spa,0.00189894437789917,eng,0.0019047260284423828,por,0.0019736886024475098
cat,oci,0.0025313496589660645,spa,0.0032706260681152344,fra,0.0032921433448791504
por,spa,0.0012606382369995117,eng,0.0017401576042175293,fra,0.0019736886024475098
oci,lmo,0.0010319948196411133,sc,0.0012418031692504883,lij,0.0012474656105041504
deu,eng,0.0018378496170043945,hun,0.0021553635597229004,fra,0.0022931694984436035
eng,spa,0.0015320181846618652,por,0.0017401576042175293,deu,0.0018378496170043945
slv,hrv,0.0017719864845275879,eng,0.0021668672561645508,spa,0.0025898218154907227
hrv,slv,0.0017719864845275879,eng,0.0019467473030090332,spa,0.002373039722442627
hun,eng,0.0019327998161315918,deu,0.0021553635597229004,spa,0.0022103190422058105
