,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.999807,0.999666,0.999629,0.999602,0.999658,0.995874,0.995734,0.995425,0.993162,0.995517,0.998465,0.994140,0.996280,0.995089,0.995144,0.994523
lij,0.999807,1.000000,0.999750,0.999631,0.999618,0.999751,0.996381,0.996235,0.995807,0.993776,0.996091,0.998753,0.994643,0.996650,0.995463,0.995599,0.995051
lmo,0.999666,0.999750,1.000000,0.999604,0.999485,0.999599,0.995896,0.996087,0.995548,0.994271,0.995762,0.998968,0.994382,0.996426,0.995158,0.995365,0.994769
sc,0.999629,0.999631,0.999604,1.000000,0.999257,0.999590,0.995632,0.996266,0.995429,0.993590,0.995968,0.998758,0.994349,0.996585,0.995303,0.995463,0.994809
scn,0.999602,0.999618,0.999485,0.999257,1.000000,0.999452,0.996177,0.995319,0.994843,0.993046,0.995179,0.998114,0.993883,0.995846,0.994807,0.995026,0.994316
vec,0.999658,0.999751,0.999599,0.999590,0.999452,1.000000,0.996544,0.996426,0.995707,0.993810,0.996114,0.998712,0.994839,0.996932,0.995746,0.995920,0.995280
ita,0.995874,0.996381,0.995896,0.995632,0.996177,0.996544,1.000000,0.998114,0.998016,0.996404,0.998018,0.996851,0.997391,0.997949,0.997321,0.997525,0.997494
spa,0.995734,0.996235,0.996087,0.996266,0.995319,0.996426,0.998114,1.000000,0.998101,0.996729,0.998739,0.997596,0.997566,0.998468,0.997410,0.997627,0.997790
fra,0.995425,0.995807,0.995548,0.995429,0.994843,0.995707,0.998016,0.998101,1.000000,0.996708,0.998026,0.997059,0.997707,0.998095,0.996978,0.997195,0.997462
cat,0.993162,0.993776,0.994271,0.993590,0.993046,0.993810,0.996404,0.996729,0.996708,1.000000,0.996646,0.997469,0.995804,0.995879,0.994805,0.995345,0.995813
por,0.995517,0.996091,0.995762,0.995968,0.995179,0.996114,0.998018,0.998739,0.998026,0.996646,1.000000,0.997336,0.997525,0.998260,0.997310,0.997606,0.997764
oci,0.998465,0.998753,0.998968,0.998758,0.998114,0.998712,0.996851,0.997596,0.997059,0.997469,0.997336,1.000000,0.996052,0.997361,0.996014,0.996384,0.996345
deu,0.994140,0.994643,0.994382,0.994349,0.993883,0.994839,0.997391,0.997566,0.997707,0.995804,0.997525,0.996052,1.000000,0.998162,0.996957,0.997126,0.997845
eng,0.996280,0.996650,0.996426,0.996585,0.995846,0.996932,0.997949,0.998468,0.998095,0.995879,0.998260,0.997361,0.998162,1.000000,0.997833,0.998053,0.998067
slv,0.995089,0.995463,0.995158,0.995303,0.994807,0.995746,0.997321,0.997410,0.996978,0.994805,0.997310,0.996014,0.996957,0.997833,1.000000,0.998228,0.997304
hrv,0.995144,0.995599,0.995365,0.995463,0.995026,0.995920,0.997525,0.997627,0.997195,0.995345,0.997606,0.996384,0.997126,0.998053,0.998228,1.000000,0.997612
hun,0.994523,0.995051,0.994769,0.994809,0.994316,0.995280,0.997494,0.997790,0.997462,0.995813,0.997764,0.996345,0.997845,0.998067,0.997304,0.997612,1.000000
