dialect,reference,ref_family,mean_similarity
fur,oci,romance,0.996570
fur,eng,english,0.994419
fur,ita,italian,0.994202
fur,spa,romance,0.994083
fur,por,romance,0.993771
fur,fra,romance,0.993738
fur,hrv,slavic,0.993253
fur,slv,slavic,0.993196
fur,hun,uralic,0.992645
fur,deu,germanic,0.992257
fur,cat,romance,0.991244
lij,oci,romance,0.996885
lij,eng,english,0.994796
lij,ita,italian,0.994771
lij,spa,romance,0.994602
lij,por,romance,0.994378
lij,fra,romance,0.994148
lij,hrv,slavic,0.993718
lij,slv,slavic,0.993589
lij,hun,uralic,0.993179
lij,deu,germanic,0.992769
lij,cat,romance,0.991884
lmo,oci,romance,0.996903
lmo,eng,english,0.994325
lmo,spa,romance,0.994235
lmo,ita,italian,0.994025
lmo,por,romance,0.993815
lmo,fra,romance,0.993642
lmo,hrv,slavic,0.993265
lmo,slv,slavic,0.993070
lmo,hun,uralic,0.992672
lmo,deu,germanic,0.992271
lmo,cat,romance,0.992177
sc,oci,romance,0.996956
sc,eng,english,0.994757
sc,spa,romance,0.994682
sc,por,romance,0.994305
sc,ita,italian,0.993974
sc,fra,romance,0.993799
sc,hrv,slavic,0.993601
sc,slv,slavic,0.993439
sc,hun,uralic,0.992957
sc,deu,germanic,0.992488
sc,cat,romance,0.991739
scn,oci,romance,0.996179
scn,ita,italian,0.994484
scn,eng,english,0.993920
scn,spa,romance,0.993632
scn,por,romance,0.993399
scn,fra,romance,0.993113
scn,hrv,slavic,0.993100
scn,slv,slavic,0.992868
scn,hun,uralic,0.992396
scn,deu,germanic,0.991949
scn,cat,romance,0.991083
vec,oci,romance,0.996760
vec,eng,english,0.995084
vec,ita,italian,0.994920
vec,spa,romance,0.994770
vec,por,romance,0.994378
vec,fra,romance,0.994006
vec,hrv,slavic,0.994000
vec,slv,slavic,0.993820
vec,hun,uralic,0.993379
vec,deu,germanic,0.992933
vec,cat,romance,0.991896
