,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.006274,0.001944,0.004561,0.003310,0.003733,0.001744,0.004009,0.001917,0.002144,0.001458,0.003264,0.002501,0.003155,0.002417,0.001713
siciliano,0.006274,0.000000,0.005315,0.006146,0.006527,0.006244,0.005784,0.004976,0.006928,0.006057,0.005660,0.006807,0.006604,0.006442,0.005980,0.005394
lombardo,0.001944,0.005315,0.000000,0.005897,0.004050,0.003485,0.001154,0.005987,0.004115,0.003515,0.002393,0.004549,0.004313,0.005305,0.004322,0.003578
sardo,0.004561,0.006146,0.005897,0.000000,0.007755,0.006076,0.005465,0.006277,0.004054,0.004374,0.003495,0.005342,0.004661,0.005289,0.005157,0.004564
ligure,0.003310,0.006527,0.004050,0.007755,0.000000,0.005003,0.004210,0.005044,0.004693,0.004185,0.004029,0.005310,0.005260,0.004501,0.004581,0.004341
friulano,0.003733,0.006244,0.003485,0.006076,0.005003,0.000000,0.002343,0.006300,0.004757,0.002916,0.003472,0.004700,0.004119,0.005530,0.003989,0.003617
ladino,0.001744,0.005784,0.001154,0.005465,0.004210,0.002343,0.000000,0.006541,0.003851,0.002992,0.002443,0.004436,0.003605,0.005356,0.003406,0.002681
italiano,0.004009,0.004976,0.005987,0.006277,0.005044,0.006300,0.006541,0.000000,0.001693,0.001961,0.002162,0.002337,0.002089,0.001629,0.002728,0.001877
spagnolo,0.001917,0.006928,0.004115,0.004054,0.004693,0.004757,0.003851,0.001693,0.000000,0.000620,0.000434,0.001317,0.000669,0.001208,0.001487,0.000883
francese,0.002144,0.006057,0.003515,0.004374,0.004185,0.002916,0.002992,0.001961,0.000620,0.000000,0.000430,0.001246,0.000661,0.001494,0.001483,0.000891
catalano,0.001458,0.005660,0.002393,0.003495,0.004029,0.003472,0.002443,0.002162,0.000434,0.000430,0.000000,0.001327,0.000792,0.001554,0.001526,0.000886
tedesco,0.003264,0.006807,0.004549,0.005342,0.005310,0.004700,0.004436,0.002337,0.001317,0.001246,0.001327,0.000000,0.001041,0.001466,0.001548,0.001486
inglese,0.002501,0.006604,0.004313,0.004661,0.005260,0.004119,0.003605,0.002089,0.000669,0.000661,0.000792,0.001041,0.000000,0.001394,0.001285,0.000743
greco,0.003155,0.006442,0.005305,0.005289,0.004501,0.005530,0.005356,0.001629,0.001208,0.001494,0.001554,0.001466,0.001394,0.000000,0.001369,0.001544
arabo,0.002417,0.005980,0.004322,0.005157,0.004581,0.003989,0.003406,0.002728,0.001487,0.001483,0.001526,0.001548,0.001285,0.001369,0.000000,0.001071
sloveno,0.001713,0.005394,0.003578,0.004564,0.004341,0.003617,0.002681,0.001877,0.000883,0.000891,0.000886,0.001486,0.000743,0.001544,0.001071,0.000000
