code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
veneto,lombardo,0.0005523562431335449,ligure,0.0008431077003479004,ladino,0.0009456872940063477
siciliano,ligure,0.003970205783843994,lombardo,0.004355132579803467,friulano,0.004590272903442383
lombardo,veneto,0.0005523562431335449,ladino,0.0005964040756225586,ligure,0.0010266900062561035
sardo,veneto,0.0027080774307250977,catalano,0.0028287768363952637,lombardo,0.003477811813354492
ligure,veneto,0.0008431077003479004,lombardo,0.0010266900062561035,ladino,0.0015249252319335938
friulano,ladino,0.0013979673385620117,lombardo,0.0018006563186645508,veneto,0.0019384026527404785
ladino,lombardo,0.0005964040756225586,veneto,0.0009456872940063477,friulano,0.0013979673385620117
italiano,greco,0.002569258213043213,spagnolo,0.002770364284515381,francese,0.003108978271484375
spagnolo,catalano,0.0007762908935546875,francese,0.0010285377502441406,inglese,0.0011777877807617188
francese,catalano,0.0008555054664611816,spagnolo,0.0010285377502441406,inglese,0.0011407136917114258
catalano,spagnolo,0.0007762908935546875,francese,0.0008555054664611816,veneto,0.001344919204711914
tedesco,inglese,0.0018458962440490723,francese,0.002124488353729248,greco,0.0021497607231140137
inglese,francese,0.0011407136917114258,spagnolo,0.0011777877807617188,sloveno,0.0012958049774169922
greco,spagnolo,0.001834571361541748,arabo,0.0019309520721435547,inglese,0.0019971132278442383
arabo,greco,0.0019309520721435547,sloveno,0.0019568800926208496,inglese,0.002001464366912842
sloveno,inglese,0.0012958049774169922,spagnolo,0.0014131665229797363,francese,0.0014969706535339355
