code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
veneto,ladino,0.00116807222366333,lombardo,0.001338362693786621,ligure,0.0014747381210327148
siciliano,lombardo,0.003257453441619873,italiano,0.003621816635131836,ligure,0.0036907196044921875
lombardo,ladino,0.0008721351623535156,veneto,0.001338362693786621,friulano,0.0015000700950622559
sardo,veneto,0.0027545690536499023,ladino,0.002974212169647217,lombardo,0.00319826602935791
ligure,veneto,0.0014747381210327148,lombardo,0.0019301772117614746,ladino,0.002272367477416992
friulano,ladino,0.0009758472442626953,lombardo,0.0015000700950622559,veneto,0.0017194151878356934
ladino,lombardo,0.0008721351623535156,friulano,0.0009758472442626953,veneto,0.00116807222366333
italiano,catalano,0.0011654496192932129,francese,0.0011706948280334473,greco,0.0012595057487487793
spagnolo,catalano,0.0004062056541442871,francese,0.0005396008491516113,inglese,0.0006148815155029297
francese,catalano,0.0003331303596496582,spagnolo,0.0005396008491516113,inglese,0.0006336569786071777
catalano,francese,0.0003331303596496582,spagnolo,0.0004062056541442871,inglese,0.0006985664367675781
tedesco,inglese,0.0008940696716308594,francese,0.001065373420715332,catalano,0.0010704994201660156
inglese,spagnolo,0.0006148815155029297,francese,0.0006336569786071777,sloveno,0.000686347484588623
greco,arabo,0.0010058879852294922,spagnolo,0.0010148286819458008,catalano,0.0010492801666259766
arabo,greco,0.0010058879852294922,sloveno,0.001201033592224121,inglese,0.0012456774711608887
sloveno,inglese,0.000686347484588623,spagnolo,0.0008231401443481445,francese,0.0008443593978881836
