code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,fra,0.34954404830932617,lmo,0.9036622643470764,scn,0.956904411315918
lij,vec,0.6406511068344116,ita,0.643826961517334,spa,0.7921859622001648
lmo,cat,0.32744038105010986,fur,0.9036622643470764,scn,0.960881233215332
sc,spa,0.5910366773605347,lij,0.8320415616035461,cat,0.9004178643226624
scn,ita,0.7460319995880127,sc,0.9059849381446838,fur,0.956904411315918
vec,spa,0.40561026334762573,lij,0.6406511068344116,ita,0.6534131765365601
ita,lij,0.643826961517334,vec,0.6534131765365601,scn,0.7460319995880127
spa,vec,0.40561026334762573,sc,0.5910366773605347,ita,0.7565492987632751
fra,fur,0.34954404830932617,deu,0.7389131784439087,eng,0.8378443717956543
cat,lmo,0.32744038105010986,spa,0.7720354795455933,slv,0.8185830116271973
deu,eng,0.5810713171958923,fra,0.7389131784439087,slv,1.0340983867645264
slv,cat,0.8185830116271973,vec,0.9302501082420349,spa,0.9644855856895447
eng,deu,0.5810713171958923,fra,0.8378443717956543,ita,0.9204884767532349
