,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,-0.331917,0.096338,-0.273096,0.043096,-0.316814,-0.305418,-0.525779,0.650456,0.023042,-0.072003,-0.074252,-0.261233
lij,-0.331917,1.000000,-0.027379,0.167958,-0.079148,0.359349,0.356173,0.207814,-0.476406,-0.099557,-0.393423,-0.111392,-0.208134
lmo,0.096338,-0.027379,1.000000,-0.176822,0.039119,0.025020,-0.384843,-0.186567,-0.176095,0.672560,-0.154769,0.021482,-0.330819
sc,-0.273096,0.167958,-0.176822,1.000000,0.094015,0.010304,-0.042103,0.408963,-0.350616,0.099582,-0.357740,-0.149228,-0.266558
scn,0.043096,-0.079148,0.039119,0.094015,1.000000,-0.222262,0.253968,-0.475688,-0.348490,-0.341279,-0.154000,-0.150679,-0.231998
vec,-0.316814,0.359349,0.025020,0.010304,-0.222262,1.000000,0.346587,0.594390,-0.396634,-0.021715,-0.437306,0.069750,-0.205094
ita,-0.305418,0.356173,-0.384843,-0.042103,0.253968,0.346587,1.000000,0.243451,-0.311987,-0.448003,-0.260670,-0.361788,0.079512
spa,-0.525779,0.207814,-0.186567,0.408963,-0.475688,0.594390,0.243451,1.000000,-0.287124,0.227965,-0.289782,0.035514,-0.047714
fra,0.650456,-0.476406,-0.176095,-0.350616,-0.348490,-0.396634,-0.311987,-0.287124,1.000000,0.015575,0.261087,-0.076146,0.162156
cat,0.023042,-0.099557,0.672560,0.099582,-0.341279,-0.021715,-0.448003,0.227965,0.015575,1.000000,-0.240522,0.181417,-0.296021
deu,-0.072003,-0.393423,-0.154769,-0.357740,-0.154000,-0.437306,-0.260670,-0.289782,0.261087,-0.240522,1.000000,-0.034098,0.418929
slv,-0.074252,-0.111392,0.021482,-0.149228,-0.150679,0.069750,-0.361788,0.035514,-0.076146,0.181417,-0.034098,1.000000,-0.140888
eng,-0.261233,-0.208134,-0.330819,-0.266558,-0.231998,-0.205094,0.079512,-0.047714,0.162156,-0.296021,0.418929,-0.140888,1.000000
