Silhouette report (xlmr (FLORES, native + 13 var, no-iso))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)            = -0.0262
  silhouette (romance vs rest)   = +0.0620
  silhouette (romance, no dial.) = +0.1285

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  fur                   italo_romance        +0.1914
  lmo                   italo_romance        +0.1914
  cat                   romance              +0.1119
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  sc                    italo_romance        -0.1015
  vec                   italo_romance        -0.1150
  scn                   italo_romance        -0.1205
  lij                   italo_romance        -0.1451
  spa                   romance              -0.1542
  fra                   romance              -0.1985
