,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.992252,0.994689,0.991201,0.991264,0.993795,0.990892,0.988999,0.990655,0.988889,0.989316,0.990414,0.990898
lij,0.992252,1.000000,0.994255,0.991860,0.990956,0.995371,0.993963,0.991352,0.992183,0.990597,0.990943,0.991944,0.992393
lmo,0.994689,0.994255,1.000000,0.993528,0.993661,0.996795,0.993304,0.991656,0.992305,0.992224,0.991459,0.992414,0.992676
sc,0.991201,0.991860,0.993528,1.000000,0.993086,0.993973,0.993468,0.991697,0.991809,0.991089,0.990722,0.991442,0.992052
scn,0.991264,0.990956,0.993661,0.993086,1.000000,0.991476,0.993042,0.988719,0.990230,0.989194,0.988628,0.989532,0.989772
vec,0.993795,0.995371,0.996795,0.993973,0.991476,1.000000,0.994939,0.993061,0.992738,0.991422,0.991655,0.993874,0.993808
ita,0.990892,0.993963,0.993304,0.993468,0.993042,0.994939,1.000000,0.996503,0.996490,0.994827,0.995291,0.995857,0.996445
spa,0.988999,0.991352,0.991656,0.991697,0.988719,0.993061,0.996503,1.000000,0.996081,0.995651,0.995073,0.995077,0.996192
fra,0.990655,0.992183,0.992305,0.991809,0.990230,0.992738,0.996490,0.996081,1.000000,0.995161,0.995498,0.994888,0.996238
cat,0.988889,0.990597,0.992224,0.991089,0.989194,0.991422,0.994827,0.995651,0.995161,1.000000,0.993554,0.993050,0.994498
deu,0.989316,0.990943,0.991459,0.990722,0.988628,0.991655,0.995291,0.995073,0.995498,0.993554,1.000000,0.994946,0.996550
slv,0.990414,0.991944,0.992414,0.991442,0.989532,0.993874,0.995857,0.995077,0.994888,0.993050,0.994946,1.000000,0.995994
eng,0.990898,0.992393,0.992676,0.992052,0.989772,0.993808,0.996445,0.996192,0.996238,0.994498,0.996550,0.995994,1.000000
