dialect,reference,ref_family,mean_similarity
fur,ita,italian,0.460284
fur,cat,romance,0.452664
fur,fra,romance,0.439095
fur,spa,romance,0.424111
fur,eng,english,0.424003
fur,deu,germanic,0.372672
fur,slv,slavic,0.313712
lij,ita,italian,0.544295
lij,eng,english,0.478068
lij,cat,romance,0.472151
lij,spa,romance,0.469654
lij,fra,romance,0.438386
lij,deu,germanic,0.405422
lij,slv,slavic,0.342071
lmo,ita,italian,0.471347
lmo,cat,romance,0.453992
lmo,eng,english,0.430742
lmo,spa,romance,0.422703
lmo,fra,romance,0.401721
lmo,deu,germanic,0.378150
lmo,slv,slavic,0.311498
sc,ita,italian,0.512181
sc,spa,romance,0.504605
sc,cat,romance,0.494075
sc,eng,english,0.490725
sc,fra,romance,0.449751
sc,deu,germanic,0.418309
sc,slv,slavic,0.349072
scn,ita,italian,0.493943
scn,cat,romance,0.429488
scn,eng,english,0.427110
scn,spa,romance,0.419814
scn,fra,romance,0.401881
scn,deu,germanic,0.378863
scn,slv,slavic,0.317463
vec,ita,italian,0.621845
vec,eng,english,0.544593
vec,spa,romance,0.540073
vec,cat,romance,0.526160
vec,fra,romance,0.477872
vec,deu,germanic,0.447184
vec,slv,slavic,0.384984
