# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.157774,family_labels
davies_bouldin,1.297155,family_labels
calinski_harabasz,1.113897,family_labels
cophenetic_correlation,0.782145,hierarchical
adjusted_rand_index,-0.026316,hierarchical_cut
normalized_mutual_info,0.528504,hierarchical_cut
v_measure,0.528504,hierarchical_cut
adjusted_rand_index,-0.026316,kmeans
normalized_mutual_info,0.528504,kmeans
v_measure,0.528504,kmeans

# Per-variety silhouette scores
variety,family,silhouette
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
cat,romance,-0.034268
sc,italo_romance,-0.075542
lmo,italo_romance,-0.117097
fur,italo_romance,-0.191069
spa,romance,-0.247189
scn,italo_romance,-0.249246
fra,romance,-0.328635
lij,italo_romance,-0.382391
vec,italo_romance,-0.425625
