,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,-0.334971,0.061259,-0.279463,0.041091,-0.320907,-0.284159,-0.526892,0.674200,0.021599,-0.072466,-0.082288,-0.228401
lij,-0.334971,1.000000,-0.075310,0.147174,-0.072290,0.390182,0.389158,0.203172,-0.479782,-0.125553,-0.375349,-0.140164,-0.212057
lmo,0.061259,-0.075310,1.000000,-0.153762,0.068163,-0.006646,-0.338774,-0.173350,-0.165024,0.633357,-0.143523,-0.016511,-0.303718
sc,-0.279463,0.147174,-0.153762,1.000000,0.132355,-0.012580,-0.047396,0.408837,-0.363118,0.088679,-0.364561,-0.143022,-0.297412
scn,0.041091,-0.072290,0.068163,0.132355,1.000000,-0.217254,0.242049,-0.476351,-0.355566,-0.373332,-0.167452,-0.156249,-0.244431
vec,-0.320907,0.390182,-0.006646,-0.012580,-0.217254,1.000000,0.406417,0.570960,-0.394895,-0.010138,-0.412706,0.019293,-0.216228
ita,-0.284159,0.389158,-0.338774,-0.047396,0.242049,0.406417,1.000000,0.246499,-0.345376,-0.416153,-0.270401,-0.353663,0.027583
spa,-0.526892,0.203172,-0.173350,0.408837,-0.476351,0.570960,0.246499,1.000000,-0.288997,0.287166,-0.286652,0.030957,-0.065965
fra,0.674200,-0.479782,-0.165024,-0.363118,-0.355566,-0.394895,-0.345376,-0.288997,1.000000,0.057871,0.251050,-0.036162,0.167981
cat,0.021599,-0.125553,0.633357,0.088679,-0.373332,-0.010138,-0.416153,0.287166,0.057871,1.000000,-0.267982,0.200874,-0.293855
deu,-0.072466,-0.375349,-0.143523,-0.364561,-0.167452,-0.412706,-0.270401,-0.286652,0.251050,-0.267982,1.000000,-0.035229,0.452104
slv,-0.082288,-0.140164,-0.016511,-0.143022,-0.156249,0.019293,-0.353663,0.030957,-0.036162,0.200874,-0.035229,1.000000,-0.123713
eng,-0.228401,-0.212057,-0.303718,-0.297412,-0.244431,-0.216228,0.027583,-0.065965,0.167981,-0.293855,0.452104,-0.123713,1.000000
