# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.041962,family_labels
davies_bouldin,0.945614,family_labels
calinski_harabasz,1.363796,family_labels
cophenetic_correlation,0.790095,hierarchical
adjusted_rand_index,-0.072165,hierarchical_cut
normalized_mutual_info,0.476817,hierarchical_cut
v_measure,0.476817,hierarchical_cut
adjusted_rand_index,-0.011111,kmeans
normalized_mutual_info,0.514753,kmeans
v_measure,0.514753,kmeans

# Per-variety silhouette scores
variety,family,silhouette
fur,italo_romance,0.171260
lmo,italo_romance,0.116689
cat,romance,0.114197
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
sc,italo_romance,-0.102418
vec,italo_romance,-0.153512
scn,italo_romance,-0.154510
lij,italo_romance,-0.170220
spa,romance,-0.178012
fra,romance,-0.188983
